rep,id_var,initT_simulated,aS_simulated,dS_simulated,lBt0_simulated,lk_simulated,lae_simulated,lw_simulated,dE_simulated,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_lk_simulated,eta_lae_simulated,eta_lw_simulated,eta_dE_simulated,data,split,color,filter
4,42,-8.4541,2.48517,2.60247,0.00594582,-4.34518,0.0473002,-2.99573,0,-4.73554,0.00482044,4.6,0,-0.105361,0,-4.32484,-0.361511,thai,All,#4682B4,0
5,42,-9.34092,1.59835,2.58115,-0.0153838,-4.39044,0.0020419,-2.99573,0,-4.72875,0.0116069,4.6,0,-0.105361,0,-4.1922,-0.228877,thai,All,#4682B4,0
6,42,-9.54474,1.39453,2.61702,0.0204938,-4.38259,0.00988994,-2.99573,0,-4.74001,0.000345678,4.6,0,-0.105361,0,-4.07578,-0.112456,thai,All,#4682B4,0
7,42,-8.27288,2.66639,2.61887,0.0223373,-4.40062,-0.00813449,-2.99573,0,-4.73495,0.00541067,4.6,0,-0.105361,0,-3.56826,0.395071,thai,All,#4682B4,0
8,42,-7.90749,3.03178,2.59452,-0.00200935,-4.40582,-0.0133364,-2.99573,0,-4.73748,0.0028801,4.6,0,-0.105361,0,-4.9928,-1.02947,thai,All,#4682B4,0
9,42,-9.28039,1.65887,2.60683,0.0102999,-4.37562,0.0168644,-2.99573,0,-4.72862,0.0117397,4.6,0,-0.105361,0,-4.42228,-0.458949,thai,All,#4682B4,0
10,42,-7.46664,3.47263,2.6196,0.0230753,-4.34215,0.050336,-2.99573,0,-4.73894,0.00142292,4.6,0,-0.105361,0,-4.38351,-0.42018,thai,All,#4682B4,0
1,43,-7.61671,3.32256,2.61845,0.0219166,-4.38616,0.00632661,-2.99573,0,-4.73605,0.00431091,4.6,0,-0.105361,0,-4.68136,-0.718035,thai,All,#4682B4,0
2,43,-11.4771,-0.5378,2.60454,0.00801027,-4.32733,0.0651526,-2.99573,0,-4.74012,0.000238625,4.6,0,-0.105361,0,-4.02125,-0.0579194,thai,All,#4682B4,0
3,43,-9.30029,1.63897,2.59445,-0.0020776,-4.40453,-0.012043,-2.99573,0,-4.7454,-0.00503515,4.6,0,-0.105361,0,-3.73239,0.230935,thai,All,#4682B4,0
4,43,-7.85728,3.08199,2.60399,0.00746159,-4.37522,0.0172662,-2.99573,0,-4.73555,0.00481261,4.6,0,-0.105361,0,-3.55961,0.403722,thai,All,#4682B4,0
5,43,-6.01673,4.92254,2.60452,0.00799089,-4.41311,-0.0206272,-2.99573,0,-4.7332,0.00716459,4.6,0,-0.105361,0,-4.58155,-0.618227,thai,All,#4682B4,0
6,43,-9.44932,1.48995,2.61598,0.0194466,-4.39328,-0.000797539,-2.99573,0,-4.74538,-0.00502034,4.6,0,-0.105361,0,-3.92451,0.0388219,thai,All,#4682B4,0
7,43,-5.72363,5.21564,2.61139,0.014856,-4.43549,-0.0430088,-2.99573,0,-4.73766,0.00270477,4.6,0,-0.105361,0,-3.60404,0.359284,thai,All,#4682B4,0
8,43,-9.14035,1.79892,2.58115,-0.0153755,-4.39084,0.00163945,-2.99573,0,-4.73172,0.00863589,4.6,0,-0.105361,0,-3.16115,0.802174,thai,All,#4682B4,0
9,43,-11.6049,-0.665681,2.55319,-0.0433407,-4.36323,0.0292562,-2.99573,0,-4.75568,-0.0153193,4.6,0,-0.105361,0,-3.05367,0.909657,thai,All,#4682B4,0
10,43,-9.10967,1.8296,2.59741,0.000880762,-4.3963,-0.00381868,-2.99573,0,-4.74712,-0.00676004,4.6,0,-0.105361,0,-3.48115,0.482181,thai,All,#4682B4,0
1,44,-17.476,-6.53675,2.60765,0.0111193,-4.37381,0.0186755,-2.99573,0,-4.73832,0.00204444,4.6,0,-0.105361,0,-4.19114,-0.227814,thai,All,#4682B4,0
2,44,-18.5223,-7.58301,2.58908,-0.00744864,-4.44246,-0.0499754,-2.99573,0,-4.72856,0.0118001,4.6,0,-0.105361,0,-4.98017,-1.01684,thai,All,#4682B4,0
3,44,-13.0873,-2.14806,2.60646,0.00993245,-4.37755,0.0149314,-2.99573,0,-4.73339,0.0069731,4.6,0,-0.105361,0,-4.00926,-0.0459375,thai,All,#4682B4,0
4,44,-15.0401,-4.10082,2.57487,-0.0216637,-4.39576,-0.00327231,-2.99573,0,-4.75394,-0.0135781,4.6,0,-0.105361,0,-4.06844,-0.105117,thai,All,#4682B4,0
5,44,-12.6766,-1.73737,2.60743,0.0108966,-4.37899,0.0134898,-2.99573,0,-4.73613,0.00422751,4.6,0,-0.105361,0,-3.87702,0.0863062,thai,All,#4682B4,0
6,44,-13.9006,-2.96135,2.59802,0.00149288,-4.38398,0.00850288,-2.99573,0,-4.72666,0.0137016,4.6,0,-0.105361,0,-3.70078,0.262543,thai,All,#4682B4,0
7,44,-12.3732,-1.43396,2.58012,-0.0164139,-4.41837,-0.0258896,-2.99573,0,-4.7283,0.0120644,4.6,0,-0.105361,0,-4.06632,-0.10299,thai,All,#4682B4,0
8,44,-12.6529,-1.71364,2.61536,0.0188356,-4.35614,0.0363431,-2.99573,0,-4.73673,0.00363284,4.6,0,-0.105361,0,-4.50067,-0.537342,thai,All,#4682B4,0
9,44,-9.93438,1.00488,2.61811,0.0215823,-4.43498,-0.0424956,-2.99573,0,-4.74202,-0.00166416,4.6,0,-0.105361,0,-3.72233,0.240997,thai,All,#4682B4,0
10,44,-14.0554,-3.11615,2.588,-0.00852445,-4.43403,-0.0415486,-2.99573,0,-4.74652,-0.00616179,4.6,0,-0.105361,0,-3.05285,0.910482,thai,All,#4682B4,0
1,45,-7.27047,3.6688,2.58007,-0.0164604,-4.39312,-0.000635648,-2.99573,0,-4.7431,-0.00274399,4.6,0,-0.105361,0,-3.56297,0.400354,thai,All,#4682B4,0
2,45,-6.4746,4.46467,2.60605,0.00952061,-4.39012,0.00236314,-2.99573,0,-4.74739,-0.00702735,4.6,0,-0.105361,0,-3.59907,0.364254,thai,All,#4682B4,0
3,45,-6.82406,4.1152,2.57691,-0.0196221,-4.41635,-0.0238655,-2.99573,0,-4.75389,-0.0135277,4.6,0,-0.105361,0,-4.02999,-0.0666674,thai,All,#4682B4,0
4,45,-9.08535,1.85392,2.60447,0.00794491,-4.34221,0.0502747,-2.99573,0,-4.75081,-0.0104508,4.6,0,-0.105361,0,-4.55319,-0.589861,thai,All,#4682B4,0
5,45,-7.08729,3.85198,2.582,-0.0145304,-4.39509,-0.00260869,-2.99573,0,-4.73923,0.00113541,4.6,0,-0.105361,0,-4.09333,-0.130002,thai,All,#4682B4,0
6,45,-7.9789,2.96037,2.58254,-0.013991,-4.38853,0.00395632,-2.99573,0,-4.74234,-0.00198041,4.6,0,-0.105361,0,-3.89374,0.0695912,thai,All,#4682B4,0
7,45,-7.75287,3.1864,2.58557,-0.0109619,-4.38143,0.0110573,-2.99573,0,-4.73199,0.00837498,4.6,0,-0.105361,0,-3.41931,0.544017,thai,All,#4682B4,0
8,45,-7.8044,3.13487,2.59168,-0.00485329,-4.38196,0.0105244,-2.99573,0,-4.7387,0.00166514,4.6,0,-0.105361,0,-3.92003,0.0432982,thai,All,#4682B4,0
9,45,-7.81194,3.12733,2.59593,-0.000603444,-4.37055,0.0219363,-2.99573,0,-4.74125,-0.000893867,4.6,0,-0.105361,0,-3.64195,0.321379,thai,All,#4682B4,0
10,45,-6.66797,4.27129,2.59267,-0.00385615,-4.39504,-0.00255945,-2.99573,0,-4.7414,-0.00103687,4.6,0,-0.105361,0,-4.07256,-0.109236,thai,All,#4682B4,0
1,46,-8.66167,2.27759,2.62701,0.030484,-4.45179,-0.0593044,-2.99573,0,-4.72407,0.0162882,4.6,0,-0.105361,0,-3.2839,0.679425,thai,All,#4682B4,0
2,46,-16.9414,-6.00209,2.59356,-0.00296596,-4.35059,0.0418979,-2.99573,0,-4.75042,-0.0100612,4.6,0,-0.105361,0,-4.62458,-0.661251,thai,All,#4682B4,0
3,46,-13.8478,-2.90855,2.59468,-0.00184674,-4.38062,0.0118628,-2.99573,0,-4.73565,0.00471244,4.6,0,-0.105361,0,-3.26389,0.699436,thai,All,#4682B4,0
4,46,-11.7521,-0.812842,2.61369,0.0171569,-4.38536,0.00712688,-2.99573,0,-4.73473,0.00563055,4.6,0,-0.105361,0,-3.73649,0.226837,thai,All,#4682B4,0
5,46,-13.6522,-2.71297,2.55974,-0.0367848,-4.38793,0.00455823,-2.99573,0,-4.72859,0.011775,4.6,0,-0.105361,0,-3.57447,0.388856,thai,All,#4682B4,0
6,46,-12.9137,-1.97441,2.57997,-0.0165621,-4.41897,-0.0264853,-2.99573,0,-4.74861,-0.00825097,4.6,0,-0.105361,0,-4.20147,-0.238143,thai,All,#4682B4,0
7,46,-11.106,-0.166745,2.58357,-0.0129631,-4.39302,-0.000541345,-2.99573,0,-4.7413,-0.000934799,4.6,0,-0.105361,0,-3.48364,0.479687,thai,All,#4682B4,0
8,46,-10.8537,0.0855961,2.59327,-0.00325519,-4.42884,-0.0363561,-2.99573,0,-4.73697,0.0033938,4.6,0,-0.105361,0,-4.58276,-0.619432,thai,All,#4682B4,0
9,46,-9.75732,1.18195,2.59205,-0.00448072,-4.3922,0.000283593,-2.99573,0,-4.71312,0.0272428,4.6,0,-0.105361,0,-4.23706,-0.273731,thai,All,#4682B4,0
10,46,-13.5948,-2.65549,2.58045,-0.0160771,-4.38322,0.00926812,-2.99573,0,-4.74287,-0.00251311,4.6,0,-0.105361,0,-4.88171,-0.918384,thai,All,#4682B4,0
1,47,-10.7192,0.220022,2.60502,0.00849525,-4.35917,0.0333148,-2.99573,0,-4.75301,-0.0126509,4.6,0,-0.105361,0,-4.02196,-0.0586311,thai,All,#4682B4,0
2,47,-8.40389,2.53538,2.58461,-0.0119176,-4.39125,0.00123338,-2.99573,0,-4.74507,-0.00471272,4.6,0,-0.105361,0,-3.95684,0.00648648,thai,All,#4682B4,0
