initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-11.8893,0.258824,15.1043,0.256863,0.00871435,0.256863,-4.94535,0.256863,-5.14082,0.256863,-0.732073,0.256863,2.92549,0.258824,0.0591842,0.256863,All
-11.8301,0.260784,15.105,0.258824,0.00871629,0.258824,-4.94534,0.258824,-5.13735,0.258824,-0.728952,0.258824,2.93341,0.260784,0.0592429,0.258824,All
-11.8265,0.262745,15.1057,0.260784,0.008718,0.260784,-4.94524,0.260784,-5.13354,0.260784,-0.727335,0.260784,2.9367,0.262745,0.0595022,0.260784,All
-11.8083,0.264706,15.1063,0.262745,0.00872053,0.262745,-4.94511,0.262745,-5.13034,0.262745,-0.726911,0.262745,2.9388,0.264706,0.0600251,0.262745,All
-11.7925,0.266667,15.1074,0.264706,0.00872159,0.264706,-4.94494,0.264706,-5.1284,0.264706,-0.725499,0.264706,2.94263,0.266667,0.0601954,0.264706,All
-11.7684,0.268627,15.1102,0.266667,0.00872226,0.266667,-4.94469,0.266667,-5.12073,0.266667,-0.721291,0.266667,2.94318,0.268627,0.0605125,0.266667,All
-11.7651,0.270588,15.1144,0.268627,0.00872271,0.268627,-4.94469,0.268627,-5.11776,0.268627,-0.721159,0.268627,2.94713,0.270588,0.061352,0.268627,All
-11.7635,0.272549,15.116,0.270588,0.00872302,0.270588,-4.94456,0.270588,-5.11552,0.270588,-0.721055,0.270588,2.94737,0.272549,0.0614598,0.270588,All
-11.7139,0.27451,15.1165,0.272549,0.00872576,0.272549,-4.94448,0.272549,-5.11413,0.272549,-0.716825,0.272549,2.9549,0.27451,0.0615929,0.272549,All
-11.7026,0.276471,15.1178,0.27451,0.00872842,0.27451,-4.94446,0.27451,-5.11148,0.27451,-0.716234,0.27451,2.97275,0.276471,0.061893,0.27451,All
-11.6953,0.278431,15.1204,0.276471,0.00873164,0.276471,-4.94436,0.276471,-5.10983,0.276471,-0.716081,0.276471,2.97897,0.278431,0.0621112,0.276471,All
-11.6896,0.280392,15.121,0.278431,0.00873235,0.278431,-4.94433,0.278431,-5.1097,0.278431,-0.701026,0.278431,2.9809,0.280392,0.0624049,0.278431,All
-11.6868,0.282353,15.1235,0.280392,0.00873258,0.280392,-4.9442,0.280392,-5.10763,0.280392,-0.700509,0.280392,2.98245,0.282353,0.0627709,0.280392,All
-11.6532,0.284314,15.1263,0.282353,0.00873364,0.282353,-4.94413,0.282353,-5.09878,0.282353,-0.696983,0.282353,2.9859,0.284314,0.0635988,0.282353,All
-11.6441,0.286275,15.1288,0.284314,0.00873534,0.284314,-4.94408,0.284314,-5.09753,0.284314,-0.696925,0.284314,2.98712,0.286275,0.0637876,0.284314,All
-11.6423,0.288235,15.1288,0.286275,0.00873712,0.286275,-4.94405,0.286275,-5.09642,0.286275,-0.695346,0.286275,2.98806,0.288235,0.0639688,0.286275,All
-11.6393,0.290196,15.1297,0.288235,0.00874747,0.288235,-4.94405,0.288235,-5.09491,0.288235,-0.693153,0.288235,2.99541,0.290196,0.0639984,0.288235,All
-11.6279,0.292157,15.1317,0.290196,0.00874885,0.290196,-4.94403,0.290196,-5.09411,0.290196,-0.693124,0.290196,2.99595,0.292157,0.0649485,0.290196,All
