iteration,convergenceIndicator,phase,a,aS_pop,corr_dI_aS,corr_lBt0_dS,corr_n_aS,corr_n_dI,dI_pop,dS_pop,initT_pop,lBt0_pop,n_pop,omega_aS,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_n
137,1044.5,1,0.339638,0.641928,0.0889763,0.902061,-0.136095,-0.694475,1.29587,0.000835865,-13.2952,-4.42948,0.123712,0.318873,0.643321,1.06221,5.30275,0.508942,0.545299
138,1041.63,1,0.342147,0.639706,0.0432542,0.904792,-0.125094,-0.688199,1.2985,0.000835333,-13.227,-4.43496,0.120742,0.313778,0.627032,1.06471,5.16848,0.511665,0.532686
139,1050.73,1,0.346723,0.643908,0.00356507,0.919597,-0.092654,-0.691689,1.31503,0.000860892,-13.236,-4.42261,0.120766,0.311241,0.611155,1.08218,5.07525,0.512093,0.550558
140,1045.28,1,0.342852,0.647965,0.0753908,0.920057,-0.114491,-0.649369,1.27123,0.000859171,-13.01,-4.41897,0.122396,0.309325,0.630356,1.07521,4.94674,0.529353,0.563023
141,1033.88,1,0.342854,0.652294,0.0574004,0.926418,-0.0993165,-0.659585,1.28165,0.000883799,-12.9735,-4.41879,0.121509,0.306774,0.614395,1.1046,4.82149,0.529672,0.555275
142,1038.97,1,0.343966,0.655608,0.0323757,0.916077,-0.109322,-0.622088,1.30619,0.000827273,-12.7187,-4.43218,0.122679,0.299006,0.607227,1.08866,4.69941,0.523793,0.541215
143,1055.88,1,0.347818,0.647088,0.0645958,0.919595,-0.0478549,-0.650776,1.29745,0.000786857,-12.8202,-4.44378,0.12012,0.308017,0.611453,1.11758,4.58955,0.522619,0.537632
144,1051.01,1,0.345943,0.638554,0.0801633,0.915151,-0.105596,-0.712402,1.29439,0.000812169,-12.9775,-4.43326,0.121504,0.301026,0.617934,1.10743,4.78322,0.51734,0.575689
145,1066.34,1,0.349723,0.643629,0.0747706,0.921826,-0.117052,-0.729182,1.30724,0.00081032,-12.6564,-4.4343,0.120579,0.317642,0.642078,1.10295,4.82104,0.520717,0.562452
146,1046.01,1,0.346353,0.638937,0.0635429,0.923635,-0.0962863,-0.72757,1.3272,0.000818774,-12.6243,-4.42679,0.120948,0.311282,0.641192,1.0873,4.69897,0.515616,0.56287
