rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_lae,eta_lw,eta_dE,eta_lE50,data
2,43,-0.537800,0.008010,0.065153,0.000000,0.000239,0.000000,0.000000,-0.057919,0.056200,0.473990,0.886905,0.000000,thai
3,43,1.638975,-0.002078,-0.012043,0.000000,-0.005035,0.000000,0.000000,0.230935,0.341695,-0.381773,0.184752,0.000000,thai
4,43,3.081986,0.007462,0.017266,0.000000,0.004813,0.000000,0.000000,0.403722,0.188384,0.375045,1.639630,0.000000,thai
5,43,4.922538,0.007991,-0.020627,0.000000,0.007165,0.000000,0.000000,-0.618227,-0.239492,0.438783,0.835905,0.000000,thai
6,43,1.489946,0.019447,-0.000798,0.000000,-0.005020,0.000000,0.000000,0.038822,0.156653,0.305954,1.977995,0.000000,thai
7,43,5.215636,0.014856,-0.043009,0.000000,0.002705,0.000000,0.000000,0.359284,-0.213194,-0.319811,1.225862,0.000000,thai
8,43,1.798915,-0.015375,0.001639,0.000000,0.008636,0.000000,0.000000,0.802174,-0.057542,-0.320058,1.341725,0.000000,thai
9,43,-0.665681,-0.043341,0.029256,0.000000,-0.015319,0.000000,0.000000,0.909657,0.132529,-0.236881,1.923164,0.000000,thai
10,43,1.829599,0.000881,-0.003819,0.000000,-0.006760,0.000000,0.000000,0.482181,0.009553,-0.314277,0.821015,0.000000,thai
1,44,-6.536749,0.011119,0.018675,0.000000,0.002044,0.000000,0.000000,-0.227814,-0.131470,-0.309096,1.457832,0.000000,thai
2,44,-7.583012,-0.007449,-0.049975,0.000000,0.011800,0.000000,0.000000,-1.016844,0.010655,0.354187,1.216293,0.000000,thai
3,44,-2.148056,0.009932,0.014931,0.000000,0.006973,0.000000,0.000000,-0.045938,0.131078,0.530390,-0.847210,0.000000,thai
4,44,-4.100815,-0.021664,-0.003272,0.000000,-0.013578,0.000000,0.000000,-0.105117,0.269944,0.585355,-0.694211,0.000000,thai
5,44,-1.737369,0.010897,0.013490,0.000000,0.004228,0.000000,0.000000,0.086306,0.041306,0.640497,-0.699806,0.000000,thai
6,44,-2.961352,0.001493,0.008503,0.000000,0.013702,0.000000,0.000000,0.262543,0.081198,0.327288,-0.806872,0.000000,thai
7,44,-1.433963,-0.016414,-0.025890,0.000000,0.012064,0.000000,0.000000,-0.102990,-0.350982,0.242600,-0.703789,0.000000,thai
8,44,-1.713640,0.018836,0.036343,0.000000,0.003633,0.000000,0.000000,-0.537342,-0.071883,0.547702,-0.679221,0.000000,thai
9,44,1.004881,0.021582,-0.042496,0.000000,-0.001664,0.000000,0.000000,0.240997,0.082512,0.735525,-0.259821,0.000000,thai
10,44,-3.116150,-0.008524,-0.041549,0.000000,-0.006162,0.000000,0.000000,0.910482,0.030046,-0.314009,-0.598913,0.000000,thai
1,45,3.668799,-0.016460,-0.000636,0.000000,-0.002744,0.000000,0.000000,0.400354,-0.086212,-0.729458,-0.998974,0.000000,thai
2,45,4.464670,0.009521,0.002363,0.000000,-0.007027,0.000000,0.000000,0.364254,0.192146,0.204618,-1.336678,0.000000,thai
3,45,4.115201,-0.019622,-0.023865,0.000000,-0.013528,0.000000,0.000000,-0.066667,0.019649,0.153265,-1.398486,0.000000,thai
4,45,1.853919,0.007945,0.050275,0.000000,-0.010451,0.000000,0.000000,-0.589861,0.115627,0.275593,-1.335447,0.000000,thai
5,45,3.851979,-0.014530,-0.002609,0.000000,0.001135,0.000000,0.000000,-0.130002,0.041090,-0.097332,-1.134503,0.000000,thai
6,45,2.960368,-0.013991,0.003956,0.000000,-0.001980,0.000000,0.000000,0.069591,0.021229,-0.293450,-1.198865,0.000000,thai
7,45,3.186400,-0.010962,0.011057,0.000000,0.008375,0.000000,0.000000,0.544017,-0.007142,-0.452530,-1.203078,0.000000,thai
8,45,3.134869,-0.004853,0.010524,0.000000,0.001665,0.000000,0.000000,0.043298,0.083523,0.220608,-1.262794,0.000000,thai
9,45,3.127326,-0.000603,0.021936,0.000000,-0.000894,0.000000,0.000000,0.321379,0.006663,-0.617290,-0.984533,0.000000,thai
10,45,4.271293,-0.003856,-0.002559,0.000000,-0.001037,0.000000,0.000000,-0.109236,0.074214,-0.031703,-0.958364,0.000000,thai
1,46,2.277593,0.030484,-0.059304,0.000000,0.016288,0.000000,0.000000,0.679425,-0.101381,0.078098,0.965073,0.000000,thai
2,46,-6.002095,-0.002966,0.041898,0.000000,-0.010061,0.000000,0.000000,-0.661251,-0.114353,0.297361,1.291798,0.000000,thai
3,46,-2.908546,-0.001847,0.011863,0.000000,0.004712,0.000000,0.000000,0.699436,-0.146663,-0.081083,-0.135346,0.000000,thai
4,46,-0.812842,0.017157,0.007127,0.000000,0.005631,0.000000,0.000000,0.226837,-0.069771,0.205169,0.323028,0.000000,thai
5,46,-2.712966,-0.036785,0.004558,0.000000,0.011775,0.000000,0.000000,0.388856,0.014464,0.003939,-1.206836,0.000000,thai
6,46,-1.974405,-0.016562,-0.026485,0.000000,-0.008251,0.000000,0.000000,-0.238143,0.269485,0.468458,0.402526,0.000000,thai
7,46,-0.166745,-0.012963,-0.000541,0.000000,-0.000935,0.000000,0.000000,0.479687,-0.003466,-0.263185,2.909734,0.000000,thai
8,46,0.085596,-0.003255,-0.036356,0.000000,0.003394,0.000000,0.000000,-0.619432,0.289475,-0.235933,0.523949,0.000000,thai
9,46,1.181948,-0.004481,0.000284,0.000000,0.027243,0.000000,0.000000,-0.273731,-0.102437,0.161691,-0.398716,0.000000,thai
10,46,-2.655487,-0.016077,0.009268,0.000000,-0.002513,0.000000,0.000000,-0.918384,0.167583,0.202550,0.334776,0.000000,thai
1,47,0.220022,0.008495,0.033315,0.000000,-0.012651,0.000000,0.000000,-0.058631,0.084498,-0.198558,-0.475699,0.000000,thai
2,47,2.535380,-0.011918,0.001233,0.000000,-0.004713,0.000000,0.000000,0.006486,-0.131818,0.245187,-0.540298,0.000000,thai
3,47,3.797680,0.011428,-0.011144,0.000000,0.008034,0.000000,0.000000,0.224726,-0.026026,0.307024,-0.572015,0.000000,thai
4,47,1.362283,-0.010539,0.039420,0.000000,0.019472,0.000000,0.000000,0.721339,0.055620,-0.389149,-1.123774,0.000000,thai
5,47,3.033582,-0.006046,0.031810,0.000000,0.005795,0.000000,0.000000,-0.348155,-0.227725,0.934665,-0.801494,0.000000,thai
6,47,3.034744,-0.001213,0.014900,0.000000,0.010242,0.000000,0.000000,-0.266516,0.057426,-0.448436,0.016728,0.000000,thai
7,47,0.479209,-0.021693,0.026644,0.000000,-0.008967,0.000000,0.000000,-0.259942,0.051923,0.262672,-1.089342,0.000000,thai
8,47,2.721056,-0.008333,-0.016154,0.000000,0.007662,0.000000,0.000000,0.383093,0.070419,-0.850208,-0.122204,0.000000,thai
9,47,2.530573,-0.007303,-0.011263,0.000000,-0.009415,0.000000,0.000000,-0.185752,0.082779,0.956390,-0.630337,0.000000,thai
10,47,4.500334,-0.025215,-0.055489,0.000000,-0.006206,0.000000,0.000000,0.151354,0.068226,-0.526452,-0.269976,0.000000,thai
1,48,1.692513,-0.011504,0.028822,0.000000,0.009154,0.000000,0.000000,-0.594751,0.028234,0.061143,0.148387,0.000000,thai
2,48,1.176218,-0.009116,0.038491,0.000000,-0.011532,0.000000,0.000000,-0.431981,0.070211,-0.066578,1.782397,0.000000,thai
3,48,2.209124,-0.008793,-0.011988,0.000000,-0.007326,0.000000,0.000000,0.050641,-0.042980,-0.382934,0.309219,0.000000,thai
4,48,4.062803,-0.008922,0.017602,0.000000,0.007227,0.000000,0.000000,0.343244,0.047902,-0.809785,0.028191,0.000000,thai
5,48,1.840730,0.025686,0.054882,0.000000,0.008487,0.000000,0.000000,0.671588,0.083428,-1.186985,1.078583,0.000000,thai
6,48,-1.509227,-0.014635,0.033978,0.000000,-0.003876,0.000000,0.000000,0.101015,-0.216974,-0.645178,0.056860,0.000000,thai
7,48,2.502963,-0.012600,0.027699,0.000000,-0.005095,0.000000,0.000000,-0.859977,0.000418,0.544051,0.312440,0.000000,thai
8,48,3.032608,-0.021556,0.016804,0.000000,0.007469,0.000000,0.000000,-0.366999,-0.060119,-0.009789,-0.548889,0.000000,thai
9,48,0.966801,0.004222,0.058189,0.000000,-0.004240,0.000000,0.000000,0.236419,0.031130,-0.790170,-0.265350,0.000000,thai
10,48,1.177685,0.034299,0.032480,0.000000,-0.014134,0.000000,0.000000,0.546286,0.038875,-0.144962,1.690742,0.000000,thai
1,49,9.053297,0.001850,-0.028495,0.000000,-0.004354,0.000000,0.000000,0.071049,-0.032949,0.731367,-1.583765,0.000000,thai
2,49,9.565532,0.010868,-0.043059,0.000000,0.007150,0.000000,0.000000,0.255988,-0.072928,0.438595,-1.493383,0.000000,thai
3,49,6.568798,0.000663,0.031508,0.000000,-0.009356,0.000000,0.000000,0.175311,0.214183,1.086204,-1.481794,0.000000,thai
4,49,8.549988,0.004473,-0.009773,0.000000,0.004822,0.000000,0.000000,-0.236185,0.040141,0.909589,-1.590904,0.000000,thai
5,49,8.109143,-0.007360,0.009642,0.000000,-0.002079,0.000000,0.000000,0.209480,0.088026,0.842996,-1.485700,0.000000,thai
6,49,8.082337,0.027756,0.065770,0.000000,0.000618,0.000000,0.000000,0.019028,-0.045201,0.987816,-1.467519,0.000000,thai
7,49,8.599346,0.013321,-0.026742,0.000000,0.006985,0.000000,0.000000,-0.847661,0.257031,1.119313,-1.424507,0.000000,thai
8,49,7.296669,0.024675,0.005074,0.000000,-0.018433,0.000000,0.000000,-0.488176,-0.115034,0.951350,-1.363172,0.000000,thai
9,49,7.264236,-0.024580,0.021881,0.000000,0.009385,0.000000,0.000000,-0.077589,-0.016510,0.782262,-1.572834,0.000000,thai
10,49,6.304953,-0.014111,0.053093,0.000000,0.009896,0.000000,0.000000,-0.440648,-0.198740,1.335465,-1.478560,0.000000,thai
1,50,5.628577,0.016791,-0.055949,0.000000,0.004176,0.000000,0.000000,-0.363852,-0.049967,0.467535,-0.093081,0.000000,thai
2,50,4.226730,-0.009598,-0.018033,0.000000,-0.005269,0.000000,0.000000,-0.143005,0.084790,-0.090572,0.730961,0.000000,thai
3,50,4.053943,-0.001097,-0.013264,0.000000,0.008219,0.000000,0.000000,0.870345,0.077196,0.413273,1.305788,0.000000,thai
4,50,4.566655,-0.007468,-0.045684,0.000000,0.010537,0.000000,0.000000,0.497288,-0.149954,-0.299152,0.096725,0.000000,thai
5,50,4.694979,0.002216,-0.049746,0.000000,-0.003042,0.000000,0.000000,0.135047,0.101713,0.712863,1.123721,0.000000,thai
