initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lw_abscissa,lw_cdf,lI50_abscissa,lI50_cdf,split
-0.719139,0.229412,-0.64931,0.229412,-0.638161,0.229412,-0.739536,0.229412,-0.753465,0.229412,All
-0.717737,0.231373,-0.647532,0.231373,-0.63481,0.231373,-0.738923,0.231373,-0.738055,0.231373,All
-0.715227,0.233333,-0.631184,0.233333,-0.633134,0.233333,-0.736286,0.233333,-0.729124,0.233333,All
-0.706855,0.235294,-0.620999,0.235294,-0.630597,0.235294,-0.727987,0.235294,-0.724748,0.235294,All
-0.70399,0.237255,-0.620965,0.237255,-0.625158,0.237255,-0.726976,0.237255,-0.700326,0.237255,All
-0.702588,0.239216,-0.617742,0.239216,-0.619072,0.239216,-0.726974,0.239216,-0.69876,0.239216,All
-0.699728,0.241176,-0.615489,0.241176,-0.612494,0.241176,-0.716249,0.241176,-0.694325,0.241176,All
-0.687475,0.243137,-0.60705,0.243137,-0.607499,0.243137,-0.707436,0.243137,-0.68657,0.243137,All
-0.670097,0.245098,-0.599741,0.245098,-0.605558,0.245098,-0.702614,0.245098,-0.683204,0.245098,All
-0.669581,0.247059,-0.599338,0.247059,-0.592077,0.247059,-0.701016,0.247059,-0.679135,0.247059,All
-0.654919,0.24902,-0.581171,0.24902,-0.58715,0.24902,-0.700422,0.24902,-0.65645,0.24902,All
-0.654037,0.25098,-0.580906,0.25098,-0.581054,0.25098,-0.686733,0.25098,-0.649441,0.25098,All
-0.649967,0.252941,-0.567001,0.252941,-0.580822,0.252941,-0.68186,0.252941,-0.644321,0.252941,All
-0.649505,0.254902,-0.565112,0.254902,-0.578527,0.254902,-0.681573,0.254902,-0.639974,0.254902,All
-0.645852,0.256863,-0.564016,0.256863,-0.575473,0.256863,-0.680094,0.256863,-0.627693,0.256863,All
-0.640373,0.258824,-0.56019,0.258824,-0.573988,0.258824,-0.675469,0.258824,-0.622525,0.258824,All
-0.639938,0.260784,-0.555007,0.260784,-0.57224,0.260784,-0.673924,0.260784,-0.618487,0.260784,All
-0.638087,0.262745,-0.554839,0.262745,-0.570464,0.262745,-0.673374,0.262745,-0.616381,0.262745,All
-0.633845,0.264706,-0.549071,0.264706,-0.569273,0.264706,-0.666118,0.264706,-0.612549,0.264706,All
-0.61415,0.266667,-0.548824,0.266667,-0.561613,0.266667,-0.663309,0.266667,-0.608465,0.266667,All
-0.612253,0.268627,-0.543147,0.268627,-0.551387,0.268627,-0.661047,0.268627,-0.596582,0.268627,All
-0.599155,0.270588,-0.531368,0.270588,-0.54838,0.270588,-0.657368,0.270588,-0.588337,0.270588,All
-0.577866,0.272549,-0.524402,0.272549,-0.544489,0.272549,-0.657316,0.272549,-0.58718,0.272549,All
-0.550569,0.27451,-0.515961,0.27451,-0.542337,0.27451,-0.654174,0.27451,-0.576545,0.27451,All
-0.523296,0.276471,-0.515496,0.276471,-0.54139,0.276471,-0.649531,0.276471,-0.572499,0.276471,All
-0.516797,0.278431,-0.511879,0.278431,-0.538788,0.278431,-0.642425,0.278431,-0.570703,0.278431,All
-0.512411,0.280392,-0.503347,0.280392,-0.537978,0.280392,-0.634699,0.280392,-0.564684,0.280392,All
-0.505623,0.282353,-0.501977,0.282353,-0.530645,0.282353,-0.629996,0.282353,-0.562937,0.282353,All
-0.505002,0.284314,-0.499339,0.284314,-0.528483,0.284314,-0.623269,0.284314,-0.556572,0.284314,All
-0.499915,0.286275,-0.494305,0.286275,-0.525332,0.286275,-0.619715,0.286275,-0.555393,0.286275,All
-0.491796,0.288235,-0.485436,0.288235,-0.524434,0.288235,-0.614224,0.288235,-0.548943,0.288235,All
-0.490905,0.290196,-0.484882,0.290196,-0.512446,0.290196,-0.610265,0.290196,-0.541618,0.290196,All
-0.48993,0.292157,-0.482417,0.292157,-0.50794,0.292157,-0.594257,0.292157,-0.539183,0.292157,All
-0.485852,0.294118,-0.475788,0.294118,-0.506023,0.294118,-0.594038,0.294118,-0.535187,0.294118,All
-0.477966,0.296078,-0.474796,0.296078,-0.492172,0.296078,-0.586837,0.296078,-0.520073,0.296078,All
-0.473367,0.298039,-0.473444,0.298039,-0.487952,0.298039,-0.581636,0.298039,-0.517328,0.298039,All
-0.441365,0.3,-0.472471,0.3,-0.487025,0.3,-0.576303,0.3,-0.51039,0.3,All
-0.440468,0.301961,-0.471412,0.301961,-0.486695,0.301961,-0.575713,0.301961,-0.504202,0.301961,All
