initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lw_abscissa,lw_cdf,lI50_abscissa,lI50_cdf,split
-2.99016,0.25098,0.0490773,0.25098,-4.69634,0.25098,0.532042,0.25098,-1.09343,0.25098,All
-2.98782,0.252941,0.0491047,0.252941,-4.69628,0.252941,0.532168,0.252941,-1.09322,0.252941,All
-2.987,0.254902,0.0491256,0.254902,-4.69627,0.254902,0.532657,0.254902,-1.09267,0.254902,All
-2.98453,0.256863,0.0491284,0.256863,-4.69483,0.256863,0.533808,0.256863,-1.09245,0.256863,All
-2.98257,0.258824,0.0491434,0.258824,-4.6948,0.258824,0.534688,0.258824,-1.09184,0.258824,All
-2.98231,0.260784,0.0491434,0.260784,-4.69382,0.260784,0.534697,0.260784,-1.09146,0.260784,All
-2.97803,0.262745,0.0491441,0.262745,-4.69366,0.262745,0.536016,0.262745,-1.09096,0.262745,All
-2.97315,0.264706,0.049146,0.264706,-4.69346,0.264706,0.536892,0.264706,-1.09082,0.264706,All
-2.97113,0.266667,0.0491486,0.266667,-4.69336,0.266667,0.538611,0.266667,-1.09049,0.266667,All
-2.97076,0.268627,0.0491556,0.268627,-4.6932,0.268627,0.538627,0.268627,-1.08991,0.268627,All
-2.97049,0.270588,0.0491788,0.270588,-4.69316,0.270588,0.539437,0.270588,-1.0899,0.270588,All
-2.96938,0.272549,0.0492211,0.272549,-4.69282,0.272549,0.539626,0.272549,-1.08983,0.272549,All
-2.96692,0.27451,0.0492477,0.27451,-4.69276,0.27451,0.540406,0.27451,-1.0898,0.27451,All
-2.96237,0.276471,0.0492649,0.276471,-4.69254,0.276471,0.540589,0.276471,-1.08931,0.276471,All
-2.96165,0.278431,0.0492856,0.278431,-4.69185,0.278431,0.543023,0.278431,-1.08925,0.278431,All
-2.95871,0.280392,0.0493609,0.280392,-4.69058,0.280392,0.543071,0.280392,-1.08917,0.280392,All
-2.95538,0.282353,0.0494185,0.282353,-4.6904,0.282353,0.543869,0.282353,-1.08769,0.282353,All
-2.95258,0.284314,0.0494816,0.284314,-4.68998,0.284314,0.546551,0.284314,-1.08754,0.284314,All
