rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_w,data
10,5,-2.898279,0.055425,-0.111997,0.000000,-0.136506,0.000000,1.923069,0.654535,africa
1,6,-1.380998,-0.047083,-0.160657,0.000000,0.048638,0.000000,1.308154,0.982762,africa
2,6,-1.378555,0.108737,-0.028585,0.000000,0.050693,0.000000,1.051700,1.164731,africa
3,6,-6.413573,-0.097802,0.005876,0.000000,0.010333,0.000000,0.023370,1.258815,africa
4,6,-2.657631,0.031152,-0.050894,0.000000,0.192344,0.000000,0.422194,1.298140,africa
5,6,-5.552215,0.073011,-0.118487,0.000000,0.088383,0.000000,1.413945,1.493882,africa
6,6,-3.178839,-0.024274,0.061520,0.000000,0.117690,0.000000,3.028896,0.736572,africa
7,6,-2.264459,-0.041510,0.102645,0.000000,0.055907,0.000000,1.370683,0.645072,africa
8,6,-7.037964,-0.046785,-0.035680,0.000000,-0.048387,0.000000,-1.515900,0.591560,africa
9,6,-3.828811,0.039058,0.092649,0.000000,0.093398,0.000000,1.065317,0.985003,africa
10,6,1.238938,0.091224,-0.290518,0.000000,0.021653,0.000000,-0.386825,0.948258,africa
1,7,1.172876,0.017272,-0.022523,0.000000,0.076638,0.000000,0.994637,-0.627874,africa
2,7,1.761021,0.105296,-0.003010,0.000000,0.111650,0.000000,1.821468,-0.667913,africa
3,7,2.348669,0.108140,0.079447,0.000000,0.140717,0.000000,1.717270,-0.813349,africa
4,7,1.992960,-0.076292,0.071102,0.000000,0.164494,0.000000,3.096737,-0.719320,africa
5,7,1.992960,-0.016841,0.044926,0.000000,0.144810,0.000000,1.536435,-0.743959,africa
6,7,1.554632,-0.100715,0.037564,0.000000,0.134803,0.000000,2.557024,-0.889618,africa
7,7,2.242002,-0.153563,0.066538,0.000000,0.204004,0.000000,1.186600,-0.858918,africa
8,7,2.709326,0.039037,0.025713,0.000000,0.124929,0.000000,0.973579,-0.712919,africa
9,7,1.783866,-0.005438,-0.001494,0.000000,0.106383,0.000000,1.294937,-0.764944,africa
10,7,2.442481,0.020799,-0.074741,0.000000,0.070523,0.000000,2.846352,-0.653311,africa
1,8,-0.022969,-0.038988,-0.140462,0.000000,-0.088826,0.000000,-0.647441,-0.055463,africa
2,8,-0.214028,-0.008108,-0.078101,0.000000,-0.066590,0.000000,-1.326322,-0.654766,africa
3,8,-1.660431,-0.015718,-0.112864,0.000000,-0.093328,0.000000,-0.705468,-0.232328,africa
4,8,0.555049,0.029239,-0.168637,0.000000,-0.150549,0.000000,-1.250010,-0.879103,africa
5,8,0.117695,0.029225,-0.010575,0.000000,-0.035282,0.000000,-0.805171,-0.354207,africa
6,8,-0.540803,-0.078556,-0.008931,0.000000,-0.026806,0.000000,-1.000494,-0.396382,africa
7,8,-1.226656,-0.053681,-0.057927,0.000000,-0.073519,0.000000,-1.547320,-1.793378,africa
8,8,-0.370755,-0.051526,-0.040081,0.000000,-0.058914,0.000000,-0.986243,-0.469451,africa
9,8,0.103477,0.000951,-0.076165,0.000000,-0.099980,0.000000,-0.756039,0.017161,africa
10,8,-1.994930,-0.018642,-0.020339,0.000000,-0.084572,0.000000,-1.151067,-0.726585,africa
1,9,0.635534,0.006659,-0.045377,0.000000,0.090158,0.000000,2.275854,-0.351087,africa
2,9,-0.783902,0.089064,-0.038407,0.000000,0.006995,0.000000,1.243963,-0.570826,africa
3,9,-0.848917,0.019732,-0.040116,0.000000,0.055659,0.000000,-0.080698,-0.742684,africa
4,9,-0.432627,0.019708,-0.121597,0.000000,0.011070,0.000000,0.332192,-0.575137,africa
5,9,-0.418956,-0.041725,-0.054877,0.000000,0.061516,0.000000,0.669648,-0.513218,africa
6,9,-2.237582,-0.070093,0.072929,0.000000,0.091822,0.000000,1.663357,-0.656326,africa
7,9,-1.371800,0.043557,0.013026,0.000000,0.048323,0.000000,2.907208,-0.758012,africa
8,9,-0.689431,-0.008032,0.029800,0.000000,0.065211,0.000000,0.673263,-0.627589,africa
9,9,-1.043409,0.027208,-0.230799,0.000000,-0.041066,0.000000,2.446133,-0.472936,africa
10,9,0.999302,0.056445,-0.160681,0.000000,-0.008489,0.000000,1.540547,-0.329846,africa
1,10,-1.212685,0.038462,-0.076677,0.000000,-0.030736,0.000000,0.923457,0.054456,africa
2,10,-3.561824,0.026344,-0.010576,0.000000,-0.052855,0.000000,-0.122219,-0.124299,africa
3,10,-0.699340,-0.059694,-0.073854,0.000000,0.041674,0.000000,0.155454,0.283250,africa
4,10,-1.209173,-0.046366,0.062674,0.000000,0.053282,0.000000,-1.372739,-0.637685,africa
5,10,-0.523871,0.064408,-0.167373,0.000000,-0.011847,0.000000,-1.037031,-0.054523,africa
6,10,-2.591700,0.002254,0.190883,0.000000,0.067958,0.000000,0.873587,-0.287735,africa
7,10,-0.714634,0.064397,-0.013197,0.000000,-0.011014,0.000000,0.896840,0.167159,africa
8,10,-3.812863,-0.045516,0.144467,0.000000,0.022290,0.000000,-0.201474,-0.143416,africa
9,10,0.517122,-0.062518,0.077004,0.000000,0.068790,0.000000,0.361601,0.223753,africa
