iteration,convergenceIndicator,phase,a,aS_pop,b,dE_pop,dS_pop,initT_pop,lBt0_pop,lae_pop,lk_pop,lw_pop,omega_aS,omega_dE,omega_dS,omega_initT,omega_lBt0,omega_lae,omega_lk,omega_lw
89,766.992,1,0.338036,14.6114,0.0331893,0.153068,0.0136317,-11.153,-4.73716,1.37001,-4.46384,2.02601,0.0432351,1.33214,0.0313487,4.05898,0.00949822,0.546383,0.432019,0.903871
90,747.713,1,0.383116,14.6055,0.0238613,0.143346,0.0135869,-11.3157,-4.73699,1.40291,-4.44136,2.0489,0.0434281,1.36687,0.030555,3.96497,0.00925772,0.532548,0.466362,0.880984
91,724.136,1,0.383281,14.6075,0.0246008,0.143873,0.0136441,-11.2121,-4.73819,1.35436,-4.47284,2.05485,0.0423285,1.36705,0.0297813,3.86457,0.00904923,0.519064,0.454554,0.860271
92,723.52,1,0.374721,14.5886,0.0274362,0.138812,0.0136414,-11.2841,-4.73841,1.22835,-4.50769,2.04117,0.0412567,1.33244,0.0290272,3.88345,0.00893687,0.520211,0.443044,0.838489
93,724.364,1,0.344933,14.5894,0.0312075,0.145675,0.0136529,-11.2311,-4.73963,1.22559,-4.48936,2.1236,0.041685,1.30588,0.0282922,3.98882,0.0095396,0.508631,0.431826,0.817258
94,712.678,1,0.319513,14.6378,0.0352651,0.152554,0.0136629,-11.2638,-4.73819,1.25526,-4.46126,2.1511,0.0406295,1.38522,0.0278752,3.88782,0.0101186,0.515982,0.420892,0.796564
95,723.579,1,0.328305,14.7355,0.0339563,0.148916,0.0136695,-11.2761,-4.74006,1.33201,-4.54406,2.10788,0.0422365,1.44467,0.0271694,3.7944,0.010507,0.502917,0.410235,0.776395
96,765.699,1,0.356945,14.7186,0.0315604,0.159215,0.0136551,-11.0914,-4.73781,1.37393,-4.54247,2.10706,0.0411671,1.40809,0.0287623,3.83412,0.011145,0.492287,0.399847,0.769677
97,751.836,1,0.307913,14.7589,0.0385797,0.138835,0.0136169,-10.8286,-4.73708,1.32385,-4.52945,2.0181,0.0401247,1.37243,0.0295575,3.73703,0.0108628,0.550583,0.418184,0.864998
98,730.827,1,0.28736,14.6582,0.0440639,0.143295,0.0135109,-10.7178,-4.73857,1.35933,-4.54563,2.12754,0.0391087,1.33768,0.0301642,3.84678,0.0105878,0.536642,0.407595,0.843096
99,771.718,1,0.384768,14.6021,0.0252697,0.1434,0.0134603,-11.1911,-4.73958,1.30421,-4.50469,2.084,0.0381185,1.30381,0.0322234,3.86536,0.0105839,0.523054,0.397274,0.876929
100,769.534,1,0.344886,14.5703,0.0331878,0.165895,0.013521,-11.4487,-4.73792,1.39175,-4.4019,1.90398,0.0377329,1.37922,0.0314074,4.17812,0.0103159,0.50981,0.387215,0.952013
101,801.39,1,0.406301,14.5714,0.022785,0.16742,0.0134881,-11.2806,-4.7382,1.29187,-4.36716,1.9232,0.0400023,1.39785,0.0314445,4.07442,0.0100547,0.496901,0.377898,0.927908
102,800.529,1,0.329055,14.5412,0.041635,0.168496,0.0134957,-11.1511,-4.73753,1.44708,-4.3188,1.90616,0.0398568,1.41943,0.0306483,3.97125,0.0101315,0.484319,0.368329,0.926415
103,771.983,1,0.340286,14.5835,0.0380186,0.172164,0.0135191,-11.0823,-4.73795,1.40502,-4.35851,1.99144,0.0388476,1.38349,0.029978,3.8707,0.010289,0.472056,0.359003,0.902957
104,743.148,1,0.369126,14.5294,0.0283291,0.188021,0.013485,-11.3332,-4.73976,1.48927,-4.41741,2.06634,0.040827,1.47421,0.0316104,3.77269,0.0100285,0.460103,0.349913,0.880094
105,734.055,1,0.41406,14.506,0.0208552,0.175458,0.0134753,-11.3404,-4.73846,1.54552,-4.43511,2.11321,0.0397933,1.45336,0.0329375,3.67716,0.00977459,0.448453,0.341053,0.85781
106,740.456,1,0.413896,14.5162,0.0200694,0.205325,0.0134109,-11.066,-4.73673,1.56127,-4.45474,2.07472,0.0419054,1.61796,0.0321035,3.58406,0.00952709,0.437098,0.332417,0.836089
107,708.309,1,0.439475,14.4411,0.0148401,0.1679,0.0133944,-10.6883,-4.7358,1.54008,-4.50966,2.18426,0.0439366,1.577,0.0312906,3.49331,0.00928586,0.426031,0.362213,0.814919
108,797.391,1,0.439984,14.3666,0.017419,0.194124,0.0133606,-10.6728,-4.73534,1.50483,-4.45013,2.09895,0.0430644,1.635,0.0315762,3.40485,0.00985205,0.415243,0.399019,0.816472
109,772.224,1,0.386966,14.2418,0.0290549,0.164662,0.0133087,-10.9295,-4.73603,1.44645,-4.46987,2.10078,0.043854,1.5936,0.0307767,3.41205,0.00960259,0.483154,0.388916,0.795799
110,784.697,1,0.43539,14.1593,0.0183945,0.183986,0.013304,-11.0946,-4.73555,1.45978,-4.46859,2.18335,0.0427436,1.55325,0.0299974,3.50514,0.0109207,0.470921,0.379068,0.775649
111,788.952,1,0.379169,14.1124,0.0289197,0.191086,0.013257,-11.1762,-4.73772,1.40885,-4.49505,2.10356,0.0472247,1.51392,0.0292378,3.41639,0.0106442,0.556676,0.36947,0.756009
112,794.906,1,0.362703,14.0391,0.0307,0.166981,0.0132922,-11.3645,-4.73744,1.42733,-4.47463,2.22028,0.0484324,1.47559,0.0322634,3.57473,0.0104339,0.54258,0.390936,0.736866
113,763.424,1,0.422432,14.0519,0.0177812,0.168314,0.0133124,-11.4844,-4.73714,1.39056,-4.53414,2.20785,0.0472061,1.48906,0.0341795,3.63532,0.0101697,0.528842,0.381038,0.725214
114,758.004,1,0.463169,14.0455,0.0109258,0.16492,0.0132945,-11.4474,-4.73717,1.39611,-4.49397,2.13116,0.0460108,1.45135,0.0347817,3.54327,0.00991219,0.515451,0.37139,0.706994
115,759.367,1,0.435539,14.0036,0.0179351,0.144685,0.0131885,-11.4343,-4.73938,1.42289,-4.49048,2.14751,0.0448458,1.41461,0.0347495,3.5259,0.0100342,0.5024,0.361986,0.696981
116,771.004,1,0.465325,13.9432,0.0116337,0.133765,0.0131357,-11.6351,-4.74047,1.3723,-4.45655,2.06105,0.0451486,1.37879,0.0338696,3.43663,0.0106531,0.573971,0.35282,0.68179
117,805.38,1,0.416652,13.8831,0.0231197,0.136716,0.0130959,-11.6279,-4.74061,1.41786,-4.43492,2.09144,0.0440054,1.34388,0.033012,3.7709,0.0117637,0.559438,0.395878,0.726852
118,766.269,1,0.422708,13.7483,0.0181952,0.144636,0.0130604,-11.4467,-4.73712,1.39531,-4.45602,2.10215,0.0428912,1.30985,0.0328767,3.67542,0.0114658,0.545273,0.392318,0.746733
119,766.988,1,0.405242,13.6955,0.0208413,0.150414,0.0129734,-11.2427,-4.73662,1.46159,-4.47886,2.14152,0.0418052,1.37629,0.0320442,3.62442,0.0114364,0.552608,0.388497,0.727825
120,709.247,1,0.423618,13.7031,0.0149964,0.165518,0.0130048,-11.3479,-4.73699,1.51699,-4.50404,2.21618,0.0407466,1.45463,0.0336101,3.54104,0.0111468,0.538615,0.378661,0.709397
121,774.656,1,0.422425,13.6386,0.0205593,0.185193,0.0129883,-11.0884,-4.7357,1.50788,-4.4982,2.28314,0.0397149,1.67331,0.0335257,3.45138,0.0108646,0.524977,0.395187,0.693138
122,734.366,1,0.402266,13.6087,0.0207467,0.182398,0.0129817,-11.3485,-4.73496,1.47221,-4.47781,2.3354,0.0387093,1.63094,0.0326768,3.36399,0.0105895,0.519786,0.38604,0.675587
123,750.731,1,0.448075,13.5355,0.0123912,0.219739,0.0130004,-11.3629,-4.73363,1.39381,-4.47959,2.30528,0.0377292,1.64581,0.0342265,3.27881,0.0112229,0.506674,0.376265,0.699742
124,753.236,1,0.460953,13.556,0.0112795,0.179888,0.0129983,-11.3407,-4.73385,1.38633,-4.48017,2.27181,0.0367738,1.60413,0.0333598,3.22169,0.0113071,0.493845,0.401678,0.692999
125,748.702,1,0.435425,13.5554,0.0160595,0.170388,0.0129813,-11.327,-4.73448,1.37587,-4.52856,2.26292,0.0358427,1.56352,0.0380467,3.32041,0.011541,0.481341,0.391508,0.675452
126,772.086,1,0.435414,13.5952,0.0160286,0.152993,0.0128999,-11.2625,-4.73634,1.39119,-4.55435,2.25573,0.0352216,1.52393,0.0387299,3.23633,0.0125371,0.511226,0.430922,0.658349
127,766.391,1,0.386662,13.5346,0.0275729,0.174472,0.01284,-10.9797,-4.7368,1.34918,-4.47563,2.13655,0.0371608,1.48534,0.0377492,3.15439,0.0122196,0.498281,0.453435,0.641679
128,779.351,1,0.386783,13.5733,0.0280805,0.163653,0.0128266,-11.0102,-4.73527,1.3801,-4.5049,2.0491,0.0362198,1.44773,0.0375424,3.1794,0.0119102,0.485664,0.447227,0.705499
