iteration,convergenceIndicator,phase,a,aS_pop,dI_pop,dS_pop,initT_pop,lBt0_pop,n_pop,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_n
103,1139.27,1,0.365422,1.59504,2.27116,0.000937074,-11.3759,-4.63415,0.09187,0.768086,0.595717,4.32711,0.32444,0.645296
104,1123.58,1,0.361052,1.59497,2.25062,0.000954855,-11.1011,-4.6308,0.0918426,0.772042,0.585366,4.27559,0.323577,0.651813
105,1145.37,1,0.367133,1.59403,2.29933,0.000939772,-11.2805,-4.63466,0.0925439,0.787753,0.602281,4.16733,0.317714,0.659463
106,1132.59,1,0.363782,1.58939,2.24389,0.000932323,-11.1726,-4.63641,0.0933627,0.784613,0.587788,4.27553,0.309669,0.664209
107,1125.86,1,0.363416,1.58379,2.25761,0.000941235,-11.0724,-4.63294,0.0933271,0.774961,0.582031,4.16727,0.3066,0.665062
108,1137.65,1,0.365345,1.58429,2.23112,0.000950103,-11.0066,-4.63137,0.091888,0.789475,0.588418,4.18913,0.312473,0.662218
109,1136.04,1,0.36238,1.58172,2.28175,0.000938439,-11.0586,-4.63253,0.0917683,0.833855,0.589996,4.22922,0.31636,0.669915
110,1120.27,1,0.358118,1.58293,2.27341,0.000943961,-10.9763,-4.62131,0.092847,0.828339,0.587253,4.12213,0.326216,0.674489
111,1119.39,1,0.35808,1.58435,2.29389,0.000923881,-11.0495,-4.63543,0.0911349,0.819487,0.588374,4.16094,0.322939,0.671969
112,1139.81,1,0.364803,1.58303,2.25818,0.000952099,-11.0148,-4.62967,0.0917505,0.824144,0.588353,4.17883,0.315844,0.655941
113,1131.93,1,0.359818,1.58609,2.21241,0.000957264,-11.2647,-4.62667,0.0913416,0.83785,0.59041,4.54312,0.319781,0.645954
114,1116.17,1,0.357626,1.59225,2.26595,0.000946326,-11.3278,-4.62295,0.0904384,0.840445,0.601179,4.42809,0.311805,0.639796
115,1123.47,1,0.361962,1.58946,2.2961,0.000945924,-11.0707,-4.62299,0.0907132,0.825927,0.585957,4.31597,0.308783,0.641004
116,1115.45,1,0.358701,1.59278,2.31924,0.000953556,-11.3016,-4.6177,0.090581,0.814574,0.582996,4.32485,0.309123,0.643899
117,1122.33,1,0.360969,1.5964,2.35957,0.00094974,-11.1192,-4.62211,0.0909627,0.818525,0.576825,4.33772,0.312255,0.631119
118,1127.75,1,0.36482,1.58883,2.2485,0.000948523,-11.0366,-4.62798,0.0920213,0.806857,0.574779,4.32679,0.304832,0.615139
119,1127.95,1,0.36311,1.59207,2.22042,0.000955479,-10.9796,-4.61458,0.092899,0.801529,0.599593,4.33032,0.3102,0.612527
120,1104.58,1,0.360314,1.59214,2.25867,0.00097147,-10.7282,-4.60981,0.0922277,0.781234,0.584411,4.22067,0.308647,0.62371
121,1108.21,1,0.361133,1.59073,2.2705,0.000969352,-10.8,-4.61453,0.0935384,0.766635,0.584577,4.1138,0.306089,0.639106
122,1129.75,1,0.366417,1.58799,2.22898,0.000972289,-10.9157,-4.61023,0.0922232,0.794142,0.579769,4.00964,0.306082,0.644872
123,1097.59,1,0.357813,1.58255,2.23079,0.000974404,-10.9515,-4.60659,0.0908206,0.774034,0.583344,3.9652,0.30116,0.654023
124,1100.53,1,0.361225,1.58106,2.18831,0.000979287,-10.8154,-4.60965,0.091637,0.754435,0.573115,3.8648,0.294698,0.66445
125,1100.03,1,0.361731,1.57958,2.18029,0.000990052,-10.674,-4.60531,0.0909671,0.757848,0.571689,3.76694,0.297837,0.65883
126,1100.95,1,0.360101,1.5769,2.27458,0.000981026,-10.8945,-4.60536,0.0916388,0.788433,0.575624,3.72912,0.296999,0.666352
127,1109.63,1,0.363202,1.5821,2.26096,0.000981847,-10.7717,-4.60747,0.0911677,0.778195,0.583219,3.73958,0.295696,0.651372
