rep,id_var,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_dI_simulated,eta_w_simulated,split,color,filter
10,10,-2.76286,-0.0237029,-0.0628432,0,-0.0238836,0,All,#4682B4,0
1,11,1.31495,0.0582969,0.184031,0,0.0329027,0,All,#4682B4,0
2,11,2.61203,0.0513367,-0.104521,0,-0.0881519,0,All,#4682B4,0
3,11,2.62792,-0.00758921,0.217076,0,0.0210834,0,All,#4682B4,0
4,11,0.546964,-0.0196015,0.0405087,0,-0.0715268,0,All,#4682B4,0
5,11,1.77991,0.0305226,0.0156694,0,-0.056521,0,All,#4682B4,0
6,11,-2.13082,-0.114059,-0.0227392,0,-0.0596487,0,All,#4682B4,0
7,11,-1.14617,-0.0487055,0.0340075,0,-0.0817544,0,All,#4682B4,0
8,11,0.547686,0.0786364,-0.00706178,0,-0.0797878,0,All,#4682B4,0
9,11,1.18453,-0.0548948,0.0209236,0,-0.0238627,0,All,#4682B4,0
10,11,2.92136,0.0443047,-0.0131444,0,0.0112365,0,All,#4682B4,0
1,12,3.76941,0.00375687,-0.223301,0,0.0731924,0,All,#4682B4,0
2,12,1.40821,-0.0746668,-0.0881464,0,0.0438796,0,All,#4682B4,0
3,12,-0.510867,-0.114362,-0.031568,0,0.0753173,0,All,#4682B4,0
4,12,1.6093,0.0719601,-0.125135,0,0.043531,0,All,#4682B4,0
5,12,0.0660166,0.192741,0.20153,0,0.050296,0,All,#4682B4,0
6,12,5.09465,0.0064111,-0.185339,0,0.122703,0,All,#4682B4,0
7,12,-1.68906,-0.0710948,-0.108272,0,0.0302969,0,All,#4682B4,0
8,12,0.18572,0.0834774,0.0677892,0,0.06133,0,All,#4682B4,0
9,12,-1.12824,0.0798981,-0.0309327,0,0.0398719,0,All,#4682B4,0
10,12,0.112456,-0.00780165,-0.0162413,0,0.0814042,0,All,#4682B4,0
1,13,0.00106973,-0.039344,-0.0867723,0,-0.0276598,0,All,#4682B4,0
2,13,-0.306091,0.0255198,0.0395098,0,-0.0329958,0,All,#4682B4,0
3,13,-0.35069,-0.0519255,0.00612285,0,0.00125443,0,All,#4682B4,0
4,13,2.90725,0.0386013,-0.0411576,0,-0.00550319,0,All,#4682B4,0
5,13,0.375791,-0.0291487,-0.0362018,0,-0.026532,0,All,#4682B4,0
6,13,-1.41171,0.00765977,-0.146875,0,-0.0891829,0,All,#4682B4,0
7,13,1.73009,0.0230291,-0.118262,0,0.0204491,0,All,#4682B4,0
8,13,1.86696,0.0521734,0.0383299,0,0.0327152,0,All,#4682B4,0
9,13,0.577137,0.0445085,0.127292,0,0.00924073,0,All,#4682B4,0
10,13,-1.79193,-0.147767,0.129494,0,0.00346637,0,All,#4682B4,0
1,14,4.28449,0.0482789,-0.171177,0,0.0974985,0,All,#4682B4,0
2,14,3.51557,0.0222584,0.0321781,0,0.0901946,0,All,#4682B4,0
3,14,2.64314,0.112165,0.043732,0,0.0613873,0,All,#4682B4,0
4,14,3.60191,0.00902231,-0.133828,0,0.0554954,0,All,#4682B4,0
5,14,4.21306,0.0327879,-0.134222,0,0.0416868,0,All,#4682B4,0
6,14,3.24792,0.0528007,0.0379316,0,0.0760913,0,All,#4682B4,0
7,14,0.84703,0.00860361,-0.0142188,0,0.0107946,0,All,#4682B4,0
8,14,3.12629,0.000912806,0.0477314,0,0.130356,0,All,#4682B4,0
9,14,3.06989,-0.126747,0.189299,0,0.194753,0,All,#4682B4,0
10,14,3.75861,0.0717952,-0.0793985,0,0.10947,0,All,#4682B4,0
1,15,1.07732,-0.000648328,0.0552614,0,-0.00698073,0,All,#4682B4,0
2,15,-0.836841,0.0154404,0.11017,0,-0.0176285,0,All,#4682B4,0
3,15,0.551231,-0.116773,0.123944,0,0.0247916,0,All,#4682B4,0
4,15,1.50576,0.0316117,-0.0883124,0,-0.037417,0,All,#4682B4,0
5,15,-1.49387,-0.0293821,-0.0326045,0,-0.0951592,0,All,#4682B4,0
6,15,0.64621,-0.114741,-0.169671,0,-0.0614979,0,All,#4682B4,0
7,15,1.31905,-0.0472552,-0.0922819,0,-0.0408886,0,All,#4682B4,0
8,15,-0.0183321,-0.00444709,0.0141395,0,-0.0319753,0,All,#4682B4,0
9,15,-0.0152111,-0.00338621,0.0582726,0,0.00507614,0,All,#4682B4,0
10,15,0.120329,0.0324037,-0.159569,0,-0.111685,0,All,#4682B4,0
1,16,1.63685,-0.101641,-0.0196469,0,-0.0774362,0,All,#4682B4,0
2,16,3.86741,0.0305333,-0.0130154,0,0.000263506,0,All,#4682B4,0
