initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-14.4407,0.147059,13.2222,0.145098,0.0119511,0.145098,-4.74845,0.145098,-4.52161,0.147059,0.89779,0.145098,0.993286,0.147059,0.0393373,0.147059,All
-14.3893,0.14902,13.2227,0.147059,0.0119585,0.147059,-4.74842,0.147059,-4.51614,0.14902,0.898927,0.147059,0.994686,0.14902,0.0394532,0.14902,All
-14.3363,0.15098,13.2235,0.14902,0.0119663,0.14902,-4.74838,0.14902,-4.50542,0.15098,0.899065,0.14902,0.997097,0.15098,0.0396906,0.15098,All
-14.3263,0.152941,13.2236,0.15098,0.0119711,0.15098,-4.74828,0.15098,-4.50067,0.152941,0.899191,0.15098,0.997509,0.152941,0.039841,0.152941,All
-14.2872,0.154902,13.2239,0.152941,0.0119742,0.152941,-4.74827,0.152941,-4.49825,0.154902,0.899696,0.152941,1.00746,0.154902,0.0400565,0.154902,All
-14.2544,0.156863,13.2257,0.154902,0.0119867,0.154902,-4.74825,0.154902,-4.4954,0.156863,0.900044,0.154902,1.01032,0.156863,0.0401385,0.156863,All
-14.124,0.158824,13.2291,0.156863,0.011989,0.156863,-4.7482,0.156863,-4.48832,0.158824,0.900896,0.156863,1.016,0.158824,0.0401745,0.158824,All
-14.0997,0.160784,13.2292,0.158824,0.0119913,0.158824,-4.74818,0.158824,-4.48576,0.160784,0.903887,0.158824,1.01658,0.160784,0.040458,0.160784,All
-14.0554,0.162745,13.2307,0.160784,0.0119952,0.160784,-4.74816,0.160784,-4.48338,0.162745,0.904766,0.160784,1.02297,0.162745,0.0405621,0.162745,All
-14.0195,0.164706,13.2307,0.162745,0.0120066,0.162745,-4.74807,0.162745,-4.48278,0.164706,0.905379,0.162745,1.02667,0.164706,0.0409238,0.164706,All
-14.0136,0.166667,13.2327,0.164706,0.0120132,0.164706,-4.74804,0.164706,-4.4699,0.166667,0.909743,0.164706,1.03133,0.166667,0.0409908,0.166667,All
-13.9988,0.168627,13.2343,0.166667,0.0120145,0.166667,-4.74801,0.166667,-4.46818,0.168627,0.910069,0.166667,1.03454,0.168627,0.0412165,0.168627,All
-13.9875,0.170588,13.2356,0.168627,0.0120219,0.168627,-4.74788,0.168627,-4.46121,0.170588,0.91249,0.168627,1.04017,0.170588,0.041718,0.170588,All
-13.9666,0.172549,13.2374,0.170588,0.0120225,0.170588,-4.74783,0.170588,-4.4582,0.172549,0.915394,0.170588,1.04077,0.172549,0.0417208,0.172549,All
-13.9408,0.17451,13.2393,0.172549,0.0120353,0.172549,-4.74781,0.172549,-4.45808,0.17451,0.915715,0.172549,1.04215,0.17451,0.0420714,0.17451,All
-13.9307,0.176471,13.2397,0.17451,0.0120371,0.17451,-4.74776,0.17451,-4.4536,0.176471,0.916481,0.17451,1.04355,0.176471,0.0422043,0.176471,All
-13.9225,0.178431,13.2402,0.176471,0.0120386,0.176471,-4.74769,0.176471,-4.4515,0.178431,0.917162,0.176471,1.04837,0.178431,0.042268,0.178431,All
-13.9076,0.180392,13.2431,0.178431,0.0120401,0.178431,-4.74753,0.178431,-4.44952,0.180392,0.918495,0.178431,1.06148,0.180392,0.0430709,0.180392,All
-13.9006,0.182353,13.2443,0.180392,0.0120436,0.180392,-4.74743,0.180392,-4.44464,0.182353,0.919518,0.180392,1.06791,0.182353,0.043366,0.182353,All
-13.869,0.184314,13.2472,0.182353,0.0120444,0.182353,-4.74739,0.182353,-4.44427,0.184314,0.919985,0.182353,1.07025,0.184314,0.0435837,0.184314,All
-13.8478,0.186275,13.248,0.184314,0.0120451,0.184314,-4.74736,0.184314,-4.44187,0.186275,0.92584,0.184314,1.07045,0.186275,0.0436944,0.186275,All
-13.828,0.188235,13.249,0.186275,0.0120467,0.186275,-4.74729,0.186275,-4.42923,0.188235,0.925885,0.186275,1.07318,0.188235,0.0437996,0.188235,All
-13.8078,0.190196,13.2491,0.188235,0.0120505,0.188235,-4.74726,0.188235,-4.42916,0.190196,0.925917,0.188235,1.07593,0.190196,0.0444032,0.190196,All
-13.7802,0.192157,13.2524,0.190196,0.0120532,0.190196,-4.74712,0.190196,-4.42228,0.192157,0.928784,0.190196,1.08099,0.192157,0.0444664,0.192157,All
-13.7729,0.194118,13.2537,0.192157,0.0120538,0.192157,-4.74708,0.192157,-4.41772,0.194118,0.928879,0.192157,1.08131,0.194118,0.0447538,0.194118,All
-13.7236,0.196078,13.2542,0.194118,0.0120611,0.194118,-4.747,0.194118,-4.40951,0.196078,0.929066,0.194118,1.08138,0.196078,0.044809,0.196078,All
-13.7144,0.198039,13.2542,0.196078,0.0120615,0.196078,-4.74696,0.196078,-4.40798,0.198039,0.929077,0.196078,1.08951,0.198039,0.0448245,0.198039,All
-13.6809,0.2,13.2558,0.198039,0.012062,0.198039,-4.74691,0.198039,-4.40398,0.2,0.930133,0.198039,1.09079,0.2,0.0449733,0.2,All
