initT_abscissa,initT_pdf,initT_cdf,aS_abscissa,aS_pdf,aS_cdf,dS_abscissa,dS_pdf,dS_cdf,lBt0_abscissa,lBt0_pdf,lBt0_cdf,lk_abscissa,lk_pdf,lk_cdf,lae_abscissa,lae_pdf,lae_cdf,lw_abscissa,lw_pdf,lw_cdf,dE_abscissa,dE_pdf,dE_cdf,split
-16.9162,0.0230439,0.0340138,12.2447,8.21367e-08,2.62422e-09,0.0110483,1.43324,0.000125138,-4.82066,3.02796e-24,0,-4.67381,0.293291,0.0794794,0.66346,0.160278,0.00932667,0.804017,0.242175,0.0723225,1.97464,0.0269089,0.969115,All
-16.6951,0.0260054,0.0394316,12.3118,5.90618e-07,2.01128e-08,0.0111361,3.51839,0.000330092,-4.81724,3.83868e-22,0,-4.64489,0.317438,0.0883085,0.679122,0.20182,0.0121521,0.837967,0.263746,0.0809078,2.04997,0.0245644,0.971052,All
-16.474,0.0292141,0.0455316,12.379,3.72287e-06,1.35539e-07,0.0112238,8.03705,0.000812896,-4.81382,3.94255e-20,0,-4.61597,0.342447,0.0978486,0.694783,0.251595,0.0156914,0.871916,0.286217,0.0902409,2.12529,0.0224807,0.972823,All
-16.2529,0.0326696,0.0523683,12.4461,2.06135e-05,8.05057e-07,0.0113116,17.1114,0.00187262,-4.8104,3.28047e-18,0,-4.58705,0.368213,0.108123,0.710445,0.31052,0.0200808,0.905866,0.309496,0.100351,2.20062,0.0206226,0.974445,All
-16.0318,0.0363676,0.059996,12.5133,0.000100465,4.22489e-06,0.0113993,34.0089,0.00404338,-4.80699,2.21136e-16,0,-4.55812,0.394618,0.119153,0.726107,0.379424,0.0254702,0.939816,0.333477,0.111263,2.27595,0.0189604,0.975934,All
-15.8107,0.0403002,0.0684674,12.5804,0.000431852,1.96381e-05,0.0114871,63.1959,0.00819945,-4.80357,1.20766e-14,0,-4.5292,0.421529,0.130953,0.741769,0.458996,0.0320216,0.973765,0.358038,0.123,2.35128,0.017469,0.977305,All
-15.5896,0.044455,0.0778331,12.6476,0.00164044,8.10521e-05,0.0115748,109.957,0.0156478,-4.80015,5.34315e-13,4.996e-16,-4.50028,0.448797,0.143538,0.757431,0.549719,0.039906,1.00771,0.383039,0.135579,2.42661,0.0161271,0.97857,All
-15.3685,0.0488152,0.0881405,12.7147,0.00551731,0.000297799,0.0116626,179.4,0.0281609,-4.79674,1.91519e-11,1.85407e-14,-4.47136,0.476261,0.156914,0.773093,0.65181,0.0493003,1.04166,0.408326,0.149012,2.50194,0.0149164,0.979738,All
-15.1474,0.0533593,0.0994328,12.7819,0.0164609,0.000976627,0.0117503,274.855,0.0478952,-4.79332,5.56148e-10,5.71432e-13,-4.44244,0.503747,0.171085,0.788755,0.765155,0.060382,1.07561,0.433734,0.163305,2.57726,0.0138215,0.98082,All
-14.9263,0.0580613,0.111748,12.849,0.0436459,0.00286671,0.011838,395.971,0.0771512,-4.7899,1.30838e-08,1.43331e-11,-4.41352,0.53107,0.18605,0.804417,0.889254,0.0733241,1.10956,0.459082,0.178461,2.65259,0.0128288,0.981823,All
-14.7052,0.0628903,0.125117,12.9162,0.103034,0.00755369,0.0119258,537.134,0.117977,-4.78649,2.49367e-07,2.92502e-10,-4.3846,0.558038,0.201799,0.820079,1.02318,0.0882882,1.14351,0.484182,0.194474,2.72792,0.0119267,0.982755,All
-14.4841,0.0678113,0.139565,12.9833,0.216942,0.0179232,0.0120135,686.954,0.171671,-4.78307,3.85042e-06,4.85915e-09,-4.35568,0.58445,0.218322,0.835741,1.16553,0.105418,1.17746,0.508837,0.211332,2.80325,0.0111053,0.983622,All
-14.263,0.0727849,0.155107,13.0505,0.408118,0.0384265,0.0121013,829.369,0.238316,-4.77965,4.81662e-05,6.57557e-08,-4.32676,0.610103,0.235597,0.851403,1.31445,0.124831,1.21141,0.532843,0.229016,2.87858,0.0103557,0.98443,All
-14.0419,0.0777682,0.171751,13.1176,0.687153,0.0747198,0.012189,946.412,0.316474,-4.77624,0.000488135,7.25452e-07,-4.29784,0.634792,0.253601,0.867064,1.46762,0.146614,1.24536,0.555995,0.247502,2.95391,0.00967039,0.985184,All
-13.8208,0.0827148,0.189493,13.1848,1.03723,0.132327,0.0122768,1021.99,0.403184,-4.77282,0.00400776,6.53184e-06,-4.26892,0.658313,0.272303,0.882726,1.6223,0.170811,1.27931,0.578088,0.266756,3.02924,0.00904264,0.985888,All
