initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-0.3212,0.35102,-0.5901,0.35102,-0.353188,0.35102,-0.505539,0.35102,-0.475563,0.35102,All
-0.31779,0.353061,-0.584547,0.353061,-0.348683,0.353061,-0.500603,0.353061,-0.472617,0.353061,All
-0.306057,0.355102,-0.582601,0.355102,-0.346636,0.355102,-0.495133,0.355102,-0.468502,0.355102,All
-0.305696,0.357143,-0.580898,0.357143,-0.338583,0.357143,-0.492116,0.357143,-0.468096,0.357143,All
-0.30444,0.359184,-0.577611,0.359184,-0.337739,0.359184,-0.489504,0.359184,-0.457517,0.359184,All
-0.294697,0.361224,-0.575031,0.361224,-0.33096,0.361224,-0.489343,0.361224,-0.408713,0.361224,All
-0.286874,0.363265,-0.573797,0.363265,-0.303315,0.363265,-0.487972,0.363265,-0.404585,0.363265,All
-0.279764,0.365306,-0.569309,0.365306,-0.301582,0.365306,-0.487705,0.365306,-0.401782,0.365306,All
-0.260773,0.367347,-0.56435,0.367347,-0.297374,0.367347,-0.482919,0.367347,-0.369965,0.367347,All
-0.257455,0.369388,-0.562799,0.369388,-0.294632,0.369388,-0.482636,0.369388,-0.36219,0.369388,All
-0.254568,0.371429,-0.558205,0.371429,-0.292216,0.371429,-0.479214,0.371429,-0.355759,0.371429,All
-0.252545,0.373469,-0.554964,0.373469,-0.282605,0.373469,-0.473267,0.373469,-0.354566,0.373469,All
-0.247187,0.37551,-0.545654,0.37551,-0.278264,0.37551,-0.472708,0.37551,-0.352058,0.37551,All
-0.243542,0.377551,-0.53657,0.377551,-0.272688,0.377551,-0.47033,0.377551,-0.333112,0.377551,All
-0.238011,0.379592,-0.532176,0.379592,-0.261079,0.379592,-0.469389,0.379592,-0.33269,0.379592,All
-0.237834,0.381633,-0.526827,0.381633,-0.247473,0.381633,-0.45848,0.381633,-0.3277,0.381633,All
-0.231194,0.383673,-0.516423,0.383673,-0.243712,0.383673,-0.452131,0.383673,-0.326434,0.383673,All
-0.229736,0.385714,-0.505571,0.385714,-0.238647,0.385714,-0.450099,0.385714,-0.313213,0.385714,All
-0.225004,0.387755,-0.504921,0.387755,-0.234954,0.387755,-0.448919,0.387755,-0.308725,0.387755,All
-0.213801,0.389796,-0.503088,0.389796,-0.225102,0.389796,-0.447908,0.389796,-0.298897,0.389796,All
-0.208698,0.391837,-0.499545,0.391837,-0.205393,0.391837,-0.434794,0.391837,-0.284627,0.391837,All
-0.198507,0.393878,-0.497391,0.393878,-0.201096,0.393878,-0.410411,0.393878,-0.280807,0.393878,All
-0.194991,0.395918,-0.494572,0.395918,-0.201041,0.395918,-0.399731,0.395918,-0.278348,0.395918,All
-0.194467,0.397959,-0.486614,0.397959,-0.201038,0.397959,-0.387895,0.397959,-0.276754,0.397959,All
-0.194109,0.4,-0.484366,0.4,-0.198551,0.4,-0.38215,0.4,-0.275721,0.4,All
-0.191218,0.402041,-0.478839,0.402041,-0.198485,0.402041,-0.382142,0.402041,-0.272304,0.402041,All
-0.190538,0.404082,-0.47755,0.404082,-0.197028,0.404082,-0.371736,0.404082,-0.269851,0.404082,All
-0.185145,0.406122,-0.462037,0.406122,-0.194781,0.406122,-0.368883,0.406122,-0.235985,0.406122,All
-0.184796,0.408163,-0.451587,0.408163,-0.193455,0.408163,-0.361376,0.408163,-0.235746,0.408163,All
-0.178551,0.410204,-0.437192,0.410204,-0.189397,0.410204,-0.350497,0.410204,-0.230996,0.410204,All
-0.173219,0.412245,-0.424781,0.412245,-0.189006,0.412245,-0.348547,0.412245,-0.219695,0.412245,All
-0.167404,0.414286,-0.424294,0.414286,-0.185783,0.414286,-0.343364,0.414286,-0.219055,0.414286,All
