initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,w_abscissa,w_cdf,split
-0.831233,0.178431,-0.848698,0.176471,-1.01027,0.176471,-0.943012,0.176471,-1.07623,0.176471,-0.949992,0.176471,All
-0.820299,0.180392,-0.841492,0.178431,-0.982965,0.178431,-0.942806,0.178431,-1.07551,0.178431,-0.939686,0.178431,All
-0.815019,0.182353,-0.839947,0.180392,-0.978327,0.180392,-0.940477,0.180392,-1.06592,0.180392,-0.918029,0.180392,All
-0.812135,0.184314,-0.822881,0.182353,-0.977485,0.182353,-0.935629,0.182353,-1.06038,0.182353,-0.903442,0.182353,All
-0.80974,0.186275,-0.814943,0.184314,-0.972292,0.184314,-0.918662,0.184314,-1.05105,0.184314,-0.896298,0.184314,All
-0.80868,0.188235,-0.795975,0.186275,-0.944436,0.186275,-0.914998,0.186275,-1.04016,0.186275,-0.896,0.186275,All
-0.805709,0.190196,-0.789846,0.188235,-0.927342,0.188235,-0.912555,0.188235,-1.0384,0.188235,-0.889079,0.188235,All
-0.802519,0.192157,-0.789215,0.190196,-0.921308,0.190196,-0.910575,0.190196,-1.01417,0.190196,-0.880588,0.190196,All
-0.789101,0.194118,-0.779479,0.192157,-0.912426,0.192157,-0.902726,0.192157,-1.00602,0.192157,-0.867414,0.192157,All
-0.786748,0.196078,-0.773801,0.194118,-0.907337,0.194118,-0.896056,0.194118,-0.995259,0.194118,-0.866453,0.194118,All
-0.786681,0.198039,-0.770905,0.196078,-0.892937,0.196078,-0.888652,0.196078,-0.989752,0.196078,-0.863135,0.196078,All
-0.769607,0.2,-0.760411,0.198039,-0.89103,0.198039,-0.887421,0.198039,-0.983271,0.198039,-0.862766,0.198039,All
-0.757604,0.201961,-0.746616,0.2,-0.877137,0.2,-0.883434,0.2,-0.966189,0.2,-0.852669,0.2,All
