initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-16.1422,0.381633,0.686106,0.379592,0.00039569,0.381633,-4.82651,0.381633,1.28351,0.379592,0.0664856,0.379592,All
-16.1287,0.383673,0.688148,0.381633,0.000397054,0.383673,-4.82523,0.383673,1.28697,0.381633,0.0666101,0.381633,All
-16.0609,0.385714,0.690327,0.383673,0.000398696,0.385714,-4.82377,0.385714,1.29083,0.383673,0.0667307,0.383673,All
-16.0476,0.387755,0.692443,0.385714,0.000398737,0.387755,-4.82188,0.387755,1.29677,0.385714,0.066758,0.385714,All
-16.0066,0.389796,0.692513,0.387755,0.000400576,0.389796,-4.81843,0.389796,1.30075,0.387755,0.0668181,0.387755,All
-15.9935,0.391837,0.692521,0.389796,0.00040608,0.391837,-4.81735,0.391837,1.30644,0.389796,0.0670775,0.389796,All
-15.9551,0.393878,0.695581,0.391837,0.000406143,0.393878,-4.81236,0.393878,1.31125,0.391837,0.0677825,0.391837,All
-15.8814,0.395918,0.697245,0.393878,0.000406645,0.395918,-4.81039,0.395918,1.31362,0.393878,0.0678469,0.393878,All
-15.8634,0.397959,0.697831,0.395918,0.000409107,0.397959,-4.80988,0.397959,1.31533,0.395918,0.0682043,0.395918,All
-15.7705,0.4,0.69954,0.397959,0.000414817,0.4,-4.80987,0.4,1.31789,0.397959,0.0683002,0.397959,All
-15.7341,0.402041,0.699704,0.4,0.000419528,0.402041,-4.80948,0.402041,1.31982,0.4,0.0683226,0.4,All
-15.6953,0.404082,0.700014,0.402041,0.000423252,0.404082,-4.80927,0.404082,1.3292,0.402041,0.0686266,0.402041,All
-15.5848,0.406122,0.703423,0.404082,0.000425912,0.406122,-4.80632,0.406122,1.32932,0.404082,0.0689826,0.404082,All
-15.5772,0.408163,0.707742,0.406122,0.000427237,0.408163,-4.80129,0.408163,1.33389,0.406122,0.0694027,0.406122,All
-15.5041,0.410204,0.707809,0.408163,0.000430526,0.410204,-4.79808,0.410204,1.33656,0.408163,0.0700808,0.408163,All
