initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-0.53429,0.261224,-0.650385,0.261224,-0.750742,0.261224,-0.746172,0.261224,-0.607101,0.261224,-0.700446,0.261224,All
-0.520541,0.263265,-0.645913,0.263265,-0.743125,0.263265,-0.740297,0.263265,-0.606498,0.263265,-0.697791,0.263265,All
-0.518407,0.265306,-0.64577,0.265306,-0.735871,0.265306,-0.73909,0.265306,-0.601063,0.265306,-0.684371,0.265306,All
-0.508883,0.267347,-0.639879,0.267347,-0.733176,0.267347,-0.724143,0.267347,-0.600524,0.267347,-0.675566,0.267347,All
-0.481144,0.269388,-0.629761,0.269388,-0.733172,0.269388,-0.722092,0.269388,-0.600253,0.269388,-0.665582,0.269388,All
-0.480692,0.271429,-0.629608,0.271429,-0.723325,0.271429,-0.717441,0.271429,-0.599244,0.271429,-0.657246,0.271429,All
-0.474925,0.273469,-0.622159,0.273469,-0.72134,0.273469,-0.701383,0.273469,-0.595547,0.273469,-0.646002,0.273469,All
-0.46714,0.27551,-0.621294,0.27551,-0.7115,0.27551,-0.669024,0.27551,-0.594357,0.27551,-0.621303,0.27551,All
-0.455506,0.277551,-0.61467,0.277551,-0.708928,0.277551,-0.668471,0.277551,-0.592495,0.277551,-0.616274,0.277551,All
-0.448631,0.279592,-0.609957,0.279592,-0.705035,0.279592,-0.652454,0.279592,-0.580483,0.279592,-0.616127,0.279592,All
-0.444042,0.281633,-0.607506,0.281633,-0.691414,0.281633,-0.652044,0.281633,-0.575461,0.281633,-0.613939,0.281633,All
-0.443078,0.283673,-0.607449,0.283673,-0.689154,0.283673,-0.640729,0.283673,-0.56253,0.283673,-0.606071,0.283673,All
-0.440922,0.285714,-0.606959,0.285714,-0.684099,0.285714,-0.636774,0.285714,-0.560822,0.285714,-0.605963,0.285714,All
-0.430741,0.287755,-0.590523,0.287755,-0.683824,0.287755,-0.63602,0.287755,-0.553916,0.287755,-0.60354,0.287755,All
-0.424231,0.289796,-0.586842,0.289796,-0.677974,0.289796,-0.634441,0.289796,-0.55389,0.289796,-0.594268,0.289796,All
-0.419346,0.291837,-0.584331,0.291837,-0.662078,0.291837,-0.633968,0.291837,-0.553098,0.291837,-0.593167,0.291837,All
-0.418941,0.293878,-0.582534,0.293878,-0.656292,0.293878,-0.62932,0.293878,-0.552245,0.293878,-0.591143,0.293878,All
-0.418449,0.295918,-0.556416,0.295918,-0.655938,0.295918,-0.617526,0.295918,-0.550803,0.295918,-0.589853,0.295918,All
-0.410354,0.297959,-0.54773,0.297959,-0.631321,0.297959,-0.613635,0.297959,-0.541551,0.297959,-0.586059,0.297959,All
-0.400166,0.3,-0.538197,0.3,-0.629402,0.3,-0.610699,0.3,-0.537761,0.3,-0.584095,0.3,All
-0.37154,0.302041,-0.53721,0.302041,-0.629188,0.302041,-0.597543,0.302041,-0.535973,0.302041,-0.581806,0.302041,All
-0.368746,0.304082,-0.535133,0.304082,-0.60964,0.304082,-0.574854,0.304082,-0.535576,0.304082,-0.580059,0.304082,All
-0.367148,0.306122,-0.529622,0.306122,-0.604862,0.306122,-0.568868,0.306122,-0.530225,0.306122,-0.572245,0.306122,All
