initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-0.904133,0.182353,-0.813686,0.182353,-0.86438,0.182353,-0.943712,0.182353,-0.954239,0.182353,-0.71283,0.182353,-0.994515,0.182353,-1.04302,0.182353,All
-0.89449,0.184314,-0.809937,0.184314,-0.862406,0.184314,-0.939466,0.184314,-0.953516,0.184314,-0.67541,0.184314,-0.990396,0.184314,-1.0392,0.184314,All
-0.888011,0.186275,-0.80516,0.186275,-0.858365,0.186275,-0.930945,0.186275,-0.948741,0.186275,-0.675124,0.186275,-0.990054,0.186275,-1.03726,0.186275,All
-0.881959,0.188235,-0.804619,0.188235,-0.84799,0.188235,-0.926699,0.188235,-0.923682,0.188235,-0.674914,0.188235,-0.985245,0.188235,-1.03543,0.188235,All
-0.875787,0.190196,-0.788718,0.190196,-0.840699,0.190196,-0.907815,0.190196,-0.923545,0.190196,-0.65659,0.190196,-0.980412,0.190196,-1.025,0.190196,All
-0.867382,0.192157,-0.782499,0.192157,-0.839058,0.192157,-0.902859,0.192157,-0.909903,0.192157,-0.655987,0.192157,-0.971501,0.192157,-1.02391,0.192157,All
-0.86513,0.194118,-0.780224,0.194118,-0.819525,0.194118,-0.891427,0.194118,-0.900869,0.194118,-0.65479,0.194118,-0.970942,0.194118,-1.019,0.194118,All
-0.850081,0.196078,-0.779775,0.196078,-0.818558,0.196078,-0.886214,0.196078,-0.884592,0.196078,-0.654717,0.196078,-0.97083,0.196078,-1.01806,0.196078,All
-0.847286,0.198039,-0.772485,0.198039,-0.817072,0.198039,-0.880051,0.198039,-0.881566,0.198039,-0.647969,0.198039,-0.956513,0.198039,-1.0178,0.198039,All
-0.837042,0.2,-0.765513,0.2,-0.812828,0.2,-0.858282,0.2,-0.87362,0.2,-0.644217,0.2,-0.954277,0.2,-1.01527,0.2,All
