rep,id_var,initT_simulated,aS_simulated,dS_simulated,lBt0_simulated,dI_simulated,w_simulated,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_dI_simulated,eta_w_simulated,data,split,color,filter
1,42,-5.76431,-0.898087,0.422365,-0.0380846,-5.1219,-0.102629,-2.99573,0,-4.1536,-0.0829991,4.6,0,thai,All,#4682B4,0
2,42,-5.26565,-0.399428,0.435101,-0.0253488,-4.94979,0.0694726,-2.99573,0,-4.14374,-0.0731395,4.6,0,thai,All,#4682B4,0
3,42,-2.90731,1.95891,0.472503,0.0120536,-5.06406,-0.0447975,-2.99573,0,-4.14705,-0.0764557,4.6,0,thai,All,#4682B4,0
4,42,-2.27239,2.59383,0.418358,-0.0420913,-5.16765,-0.148379,-2.99573,0,-4.05636,0.0142357,4.6,0,thai,All,#4682B4,0
5,42,-3.65301,1.21321,0.378709,-0.08174,-5.13376,-0.114491,-2.99573,0,-4.1151,-0.0445023,4.6,0,thai,All,#4682B4,0
6,42,-4.30081,0.565411,0.445407,-0.0150419,-5.03119,-0.0119243,-2.99573,0,-4.11332,-0.0427215,4.6,0,thai,All,#4682B4,0
7,42,-2.58296,2.28325,0.561706,0.101257,-5.14618,-0.126916,-2.99573,0,-4.12553,-0.0549333,4.6,0,thai,All,#4682B4,0
8,42,-5.74658,-0.880361,0.45699,-0.00345907,-4.92763,0.0916346,-2.99573,0,-4.11096,-0.0403611,4.6,0,thai,All,#4682B4,0
9,42,-4.44499,0.421225,0.382942,-0.0775073,-5.05034,-0.0310703,-2.99573,0,-4.15626,-0.0856615,4.6,0,thai,All,#4682B4,0
10,42,-6.56566,-1.69944,0.483797,0.0233472,-4.99913,0.0201369,-2.99573,0,-4.21212,-0.14152,4.6,0,thai,All,#4682B4,0
1,43,-3.03014,1.83608,0.440009,-0.0204403,-4.94565,0.0736139,-2.99573,0,-4.16677,-0.096172,4.6,0,thai,All,#4682B4,0
2,43,-4.11354,0.752676,0.47721,0.016761,-4.87024,0.149027,-2.99573,0,-4.10129,-0.0306859,4.6,0,thai,All,#4682B4,0
3,43,-3.35543,1.51079,0.42971,-0.0307395,-4.97874,0.040523,-2.99573,0,-4.10113,-0.0305323,4.6,0,thai,All,#4682B4,0
4,43,-3.96539,0.900827,0.465338,0.00488847,-5.01944,-0.000168218,-2.99573,0,-4.17269,-0.10209,4.6,0,thai,All,#4682B4,0
5,43,-4.16936,0.696857,0.479325,0.0188755,-4.92497,0.094295,-2.99573,0,-4.2334,-0.162803,4.6,0,thai,All,#4682B4,0
6,43,-3.43308,1.43314,0.430187,-0.0302624,-4.98853,0.0307397,-2.99573,0,-4.18466,-0.11406,4.6,0,thai,All,#4682B4,0
7,43,-3.51725,1.34897,0.469563,0.00911392,-4.90155,0.117714,-2.99573,0,-4.10301,-0.0324142,4.6,0,thai,All,#4682B4,0
8,43,-4.1399,0.726318,0.379079,-0.0813701,-4.86403,0.155241,-2.99573,0,-4.13872,-0.068125,4.6,0,thai,All,#4682B4,0
9,43,-1.72263,3.14359,0.363251,-0.0971979,-5.01226,0.00701142,-2.99573,0,-3.97234,0.0982591,4.6,0,thai,All,#4682B4,0
10,43,-1.62222,3.244,0.418454,-0.0419952,-5.13651,-0.117242,-2.99573,0,-4.0625,0.00810262,4.6,0,thai,All,#4682B4,0
1,44,-5.81345,-0.947232,0.546645,0.0861956,-5.07425,-0.0549791,-2.99573,0,-3.98038,0.090217,4.6,0,thai,All,#4682B4,0
2,44,-8.89604,-4.02982,0.477918,0.017469,-4.98898,0.030287,-2.99573,0,-4.01603,0.0545707,4.6,0,thai,All,#4682B4,0
3,44,-4.67758,0.188639,0.365577,-0.0948724,-4.98623,0.0330345,-2.99573,0,-3.95701,0.113589,4.6,0,thai,All,#4682B4,0
4,44,-6.87678,-2.01057,0.52611,0.065661,-4.94812,0.0711465,-2.99573,0,-4.03331,0.0372936,4.6,0,thai,All,#4682B4,0
5,44,-10.1462,-5.27997,0.49948,0.039031,-5.01942,-0.000156042,-2.99573,0,-4.09076,-0.0201576,4.6,0,thai,All,#4682B4,0
6,44,-4.04822,0.818003,0.518476,0.0580268,-4.93183,0.087442,-2.99573,0,-3.96019,0.110411,4.6,0,thai,All,#4682B4,0
7,44,-6.25102,-1.3848,0.488771,0.0283218,-5.15837,-0.139102,-2.99573,0,-3.93917,0.131431,4.6,0,thai,All,#4682B4,0
8,44,-3.47783,1.38839,0.458737,-0.00171247,-5.08075,-0.0614859,-2.99573,0,-3.92691,0.143687,4.6,0,thai,All,#4682B4,0
9,44,-5.88763,-1.02142,0.56417,0.10372,-4.93082,0.0884436,-2.99573,0,-4.04058,0.0300232,4.6,0,thai,All,#4682B4,0
10,44,-2.66913,2.19709,0.512437,0.0519872,-5.07144,-0.0521711,-2.99573,0,-3.96471,0.105894,4.6,0,thai,All,#4682B4,0
1,45,-2.67981,2.18641,0.411845,-0.0486042,-4.95358,0.0656866,-2.99573,0,-4.08628,-0.0156795,4.6,0,thai,All,#4682B4,0
2,45,-2.08442,2.7818,0.436688,-0.0237609,-4.9277,0.0915638,-2.99573,0,-4.02644,0.0441576,4.6,0,thai,All,#4682B4,0
3,45,-2.14457,2.72165,0.535185,0.0747358,-4.98078,0.0384894,-2.99573,0,-4.10993,-0.0393304,4.6,0,thai,All,#4682B4,0
