id,initT_SAEM,aS_SAEM,dS_SAEM,tau_SAEM,lBt0_SAEM,lp_SAEM,dI_SAEM,lk_SAEM,lae_SAEM,f_SAEM,dp_SAEM,lw_SAEM,dE_SAEM,lI50_SAEM,initT_mean,aS_mean,dS_mean,tau_mean,lBt0_mean,lp_mean,dI_mean,lk_mean,lae_mean,f_mean,dp_mean,lw_mean,dE_mean,lI50_mean,initT_mode,aS_mode,dS_mode,tau_mode,lBt0_mode,lp_mode,dI_mode,lk_mode,lae_mode,f_mode,dp_mode,lw_mode,dE_mode,lI50_mode,initT_sd,aS_sd,dS_sd,tau_sd,lBt0_sd,lp_sd,dI_sd,lk_sd,lae_sd,f_sd,dp_sd,lw_sd,dE_sd,lI50_sd,data
17,-8.28681,15.9203,0.00917463,0.05,-4.90999,4.6,0.9,-3.94308,0.190627,0.9,0.001,-0.938831,0.98184,8.17239e+30,-8.41734,15.9792,0.00918418,0.05,-4.9088,4.6,0.9,-3.94083,0.235257,0.9,0.001,-0.868447,0.993177,2.07983e+42,-8.21474,16.0086,0.00914259,0.05,-4.90861,4.6,0.9,-3.78926,0.274422,0.9,0.001,-0.0228216,1,4.01451e-07,1.81465,0.728853,0.000420769,0,0.0119073,0,0,0.506662,0.629045,0,0,0.715541,0.0800475,9.31888e+43,africa
18,-1.4401,15.2684,0.00975658,0.05,-4.91659,4.6,0.9,-4.31855,-0.269651,0.9,0.001,0.696166,1,3.48563e+21,-1.62088,15.1478,0.0097336,0.05,-4.91657,4.6,0.9,-4.28144,-0.249313,0.9,0.001,0.6837,0.999005,9.98713e+37,-1.30813,15.1667,0.00972819,0.05,-4.91621,4.6,0.9,-4.45396,-0.390677,0.9,0.001,0.701096,1,2.44003e-05,1.17152,0.631646,0.00044724,0,0.0115973,0,0,0.471502,0.583747,0,0,0.145094,0.023905,4.47527e+39,africa
19,-10.6817,16.0431,0.00901723,0.05,-4.90824,4.6,0.9,-4.2434,-0.277166,0.9,0.001,-1.27528,0.999994,4.4523e+44,-10.4981,16.1794,0.00903685,0.05,-4.90741,4.6,0.9,-4.21345,-0.21057,0.9,0.001,-1.31483,0.999998,1.00822e+47,-10.5243,16.2399,0.00896587,0.05,-4.91125,4.6,0.9,-3.85687,-0.376143,0.9,0.001,-1.05867,1,1.82453,1.75306,0.694819,0.000419397,0,0.0118457,0,0,0.466713,0.526998,0,0,0.297289,6.48358e-05,4.51725e+48,africa
20,-6.64254,16.1262,0.0090505,0.05,-4.90627,4.6,0.9,-3.97758,0.0735257,0.9,0.001,-1.03844,0.997998,1.71433e+23,-6.8178,16.0962,0.00908341,0.05,-4.90789,4.6,0.9,-4.07399,0.0577722,0.9,0.001,-0.996367,0.988491,4.90333e+35,-6.66922,16.1014,0.00908855,0.05,-4.90742,4.6,0.9,-3.96943,0.0822178,0.9,0.001,-0.554706,1,1.77038e-06,1.31294,0.688575,0.000416186,0,0.0114337,0,0,0.488898,0.631016,0,0,0.734644,0.105388,2.19084e+37,africa
21,-9.08388,16.486,0.00902272,0.05,-4.9078,4.6,0.9,-3.72885,0.746331,0.9,0.001,-2.05482,1,1.04807e+38,-9.25351,16.338,0.00901855,0.05,-4.90754,4.6,0.9,-3.72216,0.657352,0.9,0.001,-2.00021,0.999953,1.36734e+52,-8.90947,16.3661,0.00898629,0.05,-4.90722,4.6,0.9,-3.74771,0.556991,0.9,0.001,-1.94357,1,4.84836,1.48581,0.719742,0.000420922,0,0.0117949,0,0,0.443396,0.476191,0,0,0.295887,0.00160435,6.12716e+53,africa
22,-12.1305,16.5073,0.00888778,0.05,-4.90346,4.6,0.9,-4.01961,0.379062,0.9,0.001,0.217313,1,1.45924e+23,-11.986,16.4642,0.00885105,0.05,-4.90456,4.6,0.9,-3.88558,0.166089,0.9,0.001,0.206103,0.999547,3.31323e+28,-11.749,16.4076,0.00889398,0.05,-4.90454,4.6,0.9,-3.89833,0.221273,0.9,0.001,0.235566,1,3.11318e-06,1.77103,0.727246,0.000423213,0,0.0118533,0,0,0.423113,0.465045,0,0,0.190085,0.0159588,1.37081e+30,africa
23,-9.88474,15.9276,0.00919183,0.05,-4.90901,4.6,0.9,-3.76545,0.282023,0.9,0.001,-0.721692,0.999136,1.06612e+26,-10.1131,16.0217,0.00928844,0.05,-4.90895,4.6,0.9,-3.78847,0.545093,0.9,0.001,-0.845825,0.999804,1.87543e+48,-9.78962,15.9053,0.00918962,0.05,-4.90899,4.6,0.9,-3.79325,0.578198,0.9,0.001,-0.620986,1,9.29213e-12,1.91299,0.68426,0.000432075,0,0.0114336,0,0,0.45168,0.657595,0,0,0.577184,0.00618288,8.40393e+49,africa
24,-8.38427,16.1043,0.00910203,0.05,-4.90613,4.6,0.9,-3.63175,0.85622,0.9,0.001,-0.91443,0.99995,2.17328e+18,-8.25263,16.2676,0.00908947,0.05,-4.90841,4.6,0.9,-3.60547,0.762437,0.9,0.001,-0.871215,0.999909,2.73755e+39,-8.1566,16.1732,0.00903014,0.05,-4.90797,4.6,0.9,-3.59109,0.817611,0.9,0.001,-0.632641,1,5.0849e-08,1.701,0.667986,0.000382279,0,0.0116084,0,0,0.493066,0.523454,0,0,0.475956,0.00407258,1.22672e+41,africa
25,-8.08973,15.8192,0.00927295,0.05,-4.91194,4.6,0.9,-4.2404,-0.138635,0.9,0.001,0.670836,1,2.75291e+20,-8.06129,15.8124,0.00931182,0.05,-4.90929,4.6,0.9,-4.18383,-0.185488,0.9,0.001,0.671128,0.99999,6.48328e+29,-7.74549,15.853,0.00925133,0.05,-4.90968,4.6,0.9,-4.22488,-0.226919,0.9,0.001,0.699637,1,1.43617e-06,1.53308,0.69595,0.000431938,0,0.0114929,0,0,0.459111,0.502872,0,0,0.118157,0.000338624,2.90519e+31,africa
26,-8.41328,16.4147,0.00869761,0.05,-4.90141,4.6,0.9,-4.56358,-1.40169,0.9,0.001,0.794799,1,0.000603564,-8.36429,16.6869,0.00878286,0.05,-4.90056,4.6,0.9,-4.88426,-0.968696,0.9,0.001,0.772737,0.999685,0.00286182,-8.14753,16.61,0.00865855,0.05,-4.90064,4.6,0.9,-4.74258,-1.10213,0.9,0.001,0.78512,1,1.36953e-06,1.45841,0.72861,0.000419209,0,0.0121694,0,0,0.457486,0.550838,0,0,0.0753191,0.0106979,0.0182937,africa
