rep,id,initT,aS,dS,tau,lBt0,lp,dI,lk,f,dp,lw,dE,lI50,lod,data
1,46,-8.10410211048961,70,0.0464075792042674,0.05,-4.84285888283207,4.6,0.9,-1.81567133299712,0.9,0.001,-0.0456798738231988,1,-0.206345650255485,15,thai
2,46,-8.79564585511411,70,0.0465180296414566,0.05,-4.84054954911226,4.6,0.9,-1.81567133299712,0.9,0.001,-0.209085345564272,1,0.0767465933523497,15,thai
3,46,-7.12325540029832,70,0.0488362379585644,0.05,-4.79748962868459,4.6,0.9,-1.81567133299712,0.9,0.001,0.21874158509337,1,-0.360644101775261,15,thai
4,46,-7.17656622560018,70,0.0480406886683611,0.05,-4.80882041776739,4.6,0.9,-1.81567133299712,0.9,0.001,-0.338003009342629,1,0.172781565087677,15,thai
5,46,-5.24858600206649,70,0.0499109890270053,0.05,-4.7837373714978,4.6,0.9,-1.81567133299712,0.9,0.001,-0.0105755750548963,1,0.0866095921682331,15,thai
6,46,-6.98156096466284,70,0.0487350672056686,0.05,-4.79001815316163,4.6,0.9,-1.81567133299712,0.9,0.001,-0.19036138295135,1,-0.0378027496966627,15,thai
7,46,-8.48420650412877,70,0.0484100406336749,0.05,-4.80394918404841,4.6,0.9,-1.81567133299712,0.9,0.001,-0.318251071669216,1,0.279891874492484,15,thai
8,46,-6.10310510061526,70,0.0484926838081265,0.05,-4.79423271976133,4.6,0.9,-1.81567133299712,0.9,0.001,-0.145667049617951,1,0.192957019459278,15,thai
9,46,-6.67657293742267,70,0.0489026547261554,0.05,-4.79699471105316,4.6,0.9,-1.81567133299712,0.9,0.001,-0.146532057068368,1,0.0419583173829677,15,thai
10,46,-6.97264261662561,70,0.0481625174309016,0.05,-4.80583405406047,4.6,0.9,-1.81567133299712,0.9,0.001,-0.115660248730588,1,-0.0448208621657883,15,thai
1,47,-2.19562289451705,70,0.0512659406665989,0.05,-4.75702826574938,4.6,0.9,-1.81567133299712,0.9,0.001,-0.125956825640546,1,0.212797148122593,15,thai
2,47,-2.70487952524895,70,0.0503081514439617,0.05,-4.76944716449157,4.6,0.9,-1.81567133299712,0.9,0.001,0.0128216954181147,1,0.116905825097918,15,thai
3,47,-2.51579487742525,70,0.0491339740728226,0.05,-4.78350815324944,4.6,0.9,-1.81567133299712,0.9,0.001,-0.0234111246029552,1,0.0642212069998301,15,thai
4,47,-2.25316673005676,70,0.0497056888209642,0.05,-4.78446691774974,4.6,0.9,-1.81567133299712,0.9,0.001,-0.0268281263815654,1,0.268072359197455,15,thai
5,47,-2.37913460064321,70,0.0494274796252435,0.05,-4.78111206874236,4.6,0.9,-1.81567133299712,0.9,0.001,-0.0871710705406097,1,0.116385437113508,15,thai
6,47,-2.23588390119701,70,0.0494336291543824,0.05,-4.78958175185886,4.6,0.9,-1.81567133299712,0.9,0.001,-0.0848845770877607,1,0.178529062933204,15,thai
7,47,-2.15059112368245,70,0.0508925757792619,0.05,-4.76378160977645,4.6,0.9,-1.81567133299712,0.9,0.001,-0.0350400320570129,1,-0.0372567393907168,15,thai
8,47,-1.24484459947623,70,0.050660384393963,0.05,-4.75853110615059,4.6,0.9,-1.81567133299712,0.9,0.001,0.0579441770899348,1,-0.0999677109192268,15,thai
9,47,-2.52391958127134,70,0.0495827937474108,0.05,-4.78050023504474,4.6,0.9,-1.81567133299712,0.9,0.001,0.014288198851175,1,0.120527102398955,15,thai
10,47,-2.89082764254988,70,0.0514208608358796,0.05,-4.74271553761324,4.6,0.9,-1.81567133299712,0.9,0.001,-0.0877749088848236,1,0.110331417488877,15,thai
1,48,-4.92199945165874,70,0.0441821441978543,0.05,-4.88370609043764,4.6,0.9,-1.81567133299712,0.9,0.001,-0.0130463238736517,1,0.0163999898312567,15,thai
2,48,-5.11421981802501,70,0.0446501000368663,0.05,-4.87512846186215,4.6,0.9,-1.81567133299712,0.9,0.001,0.989348586431093,1,-1.3253068738472,15,thai
3,48,-3.86493394805984,70,0.0460158225078136,0.05,-4.85165394928573,4.6,0.9,-1.81567133299712,0.9,0.001,0.133081700043021,1,-0.275963813906975,15,thai
4,48,-3.82259329648535,70,0.0445300411453308,0.05,-4.87999812216722,4.6,0.9,-1.81567133299712,0.9,0.001,0.02643140352118,1,-0.241062049373841,15,thai
5,48,-2.82793551073376,70,0.0469681820771786,0.05,-4.83011555335024,4.6,0.9,-1.81567133299712,0.9,0.001,-0.152255574952696,1,-0.0496937344746114,15,thai
6,48,-3.00184641284556,70,0.0464147434778467,0.05,-4.84350643662072,4.6,0.9,-1.81567133299712,0.9,0.001,-0.271679057124783,1,0.171958546196524,15,thai
7,48,-4.14014859555853,70,0.0450364888459471,0.05,-4.87636209340873,4.6,0.9,-1.81567133299712,0.9,0.001,-0.380385808148576,1,0.402834718082056,15,thai
8,48,-4.42383947361141,70,0.0441355389443685,0.05,-4.88406620976277,4.6,0.9,-1.81567133299712,0.9,0.001,-0.49008952610136,1,0.585001045549998,15,thai
9,48,-3.1565745125321,70,0.0434078940596687,0.05,-4.89664665144363,4.6,0.9,-1.81567133299712,0.9,0.001,-0.277508925844984,1,0.3560571352103,15,thai
10,48,-4.14330622636052,70,0.0447080641050971,0.05,-4.86569928363002,4.6,0.9,-1.81567133299712,0.9,0.001,-0.326622621542175,1,0.182904845012546,15,thai
1,49,2.04831421050082,70,0.0495445752171364,0.05,-4.78568652910645,4.6,0.9,-1.81567133299712,0.9,0.001,1.15453224993135,1,-0.963461228159812,15,thai
2,49,2.38508886290138,70,0.0486405357567384,0.05,-4.80201258059177,4.6,0.9,-1.81567133299712,0.9,0.001,1.17878251429182,1,-1.00202308447984,15,thai
3,49,1.28888685655878,70,0.0486484937313976,0.05,-4.80166633652942,4.6,0.9,-1.81567133299712,0.9,0.001,1.27661080510866,1,-1.11650727137044,15,thai
4,49,1.62922730906973,70,0.0480784037650608,0.05,-4.81000404536786,4.6,0.9,-1.81567133299712,0.9,0.001,1.19147195262687,1,-1.0432524702762,15,thai
5,49,1.16001094934938,70,0.0471780601402004,0.05,-4.82656768599998,4.6,0.9,-1.81567133299712,0.9,0.001,1.21572783070001,1,-1.06732550711532,15,thai
6,49,1.010417273496,70,0.0472997019825283,0.05,-4.8264995535797,4.6,0.9,-1.81567133299712,0.9,0.001,1.21053611625498,1,-1.05228849425167,15,thai
