iteration,convergenceIndicator,phase,a,corr_lBt0_dS,dS_pop,initT_pop,lBt0_pop,lI50_pop,lk_pop,lw_pop,omega_dS,omega_lBt0,omega_lI50,omega_lw
99,814.182,1,0.674459,0.667707,0.0687758,-1.93397,-4.50909,-1.06451,-1.38333,0.669766,0.142258,0.109001,0.0630939,0.224932
100,820.102,1,0.687922,0.724821,0.0701356,-1.94097,-4.49431,-1.0733,-1.38508,0.691225,0.147659,0.109547,0.0632589,0.232239
101,831.629,1,0.695152,0.785326,0.0719264,-1.97291,-4.48483,-1.06769,-1.38914,0.691179,0.160832,0.106773,0.0664123,0.226359
102,798.837,1,0.67755,0.798679,0.0727082,-1.95402,-4.4816,-1.06495,-1.39104,0.688063,0.164234,0.107564,0.0647307,0.220627
103,813.549,1,0.679458,0.830918,0.0721994,-2.008,-4.49464,-1.0601,-1.39593,0.689255,0.167908,0.111705,0.0648088,0.215041
104,816.46,1,0.685377,0.786807,0.0713161,-2.01241,-4.50007,-1.0617,-1.40029,0.69098,0.163656,0.110113,0.0668492,0.209596
105,783.254,1,0.677481,0.824511,0.0712706,-2.02531,-4.49993,-1.05293,-1.4074,0.688966,0.159512,0.107386,0.0651565,0.204289
106,812.269,1,0.69507,0.82866,0.0717379,-2.00071,-4.48997,-1.05135,-1.41579,0.696424,0.155473,0.108989,0.0701313,0.203439
107,781.138,1,0.679701,0.831408,0.0710489,-2.03213,-4.49416,-1.0498,-1.418,0.691554,0.151537,0.106888,0.0683556,0.198288
108,784.521,1,0.680807,0.836035,0.0704391,-2.02783,-4.50698,-1.0441,-1.41468,0.680616,0.1477,0.110854,0.0666248,0.208214
109,777.51,1,0.674726,0.801307,0.0697631,-2.03068,-4.51059,-1.04179,-1.42076,0.690565,0.14396,0.120361,0.0660491,0.202942
110,771.286,1,0.668474,0.747087,0.0713612,-2.06279,-4.50294,-1.03341,-1.42055,0.700525,0.140315,0.117313,0.0696675,0.197803
111,796.47,1,0.684048,0.73134,0.0708789,-2.04562,-4.49721,-1.03138,-1.41916,0.686342,0.136762,0.114343,0.0777839,0.192795
112,806.16,1,0.686842,0.739321,0.0711062,-2.0341,-4.50107,-1.02936,-1.43718,0.704455,0.140022,0.111447,0.0758144,0.19247
113,780.384,1,0.68392,0.617982,0.070613,-2.05089,-4.50873,-1.01552,-1.42181,0.674119,0.136477,0.108625,0.0738947,0.206783
114,789.136,1,0.672174,0.656518,0.0699746,-2.10796,-4.50485,-1.00734,-1.42403,0.675257,0.134464,0.105875,0.0772985,0.201548
115,822.76,1,0.681938,0.744515,0.0706763,-2.14076,-4.50532,-1.01852,-1.42097,0.661153,0.162619,0.117088,0.0754738,0.196444
116,828.88,1,0.674748,0.690215,0.0724623,-2.1735,-4.49463,-1.0263,-1.41729,0.671735,0.162185,0.114124,0.0747567,0.196383
117,793.101,1,0.666357,0.738002,0.0708546,-2.20997,-4.5039,-1.03474,-1.41632,0.664767,0.158078,0.111234,0.0736026,0.213516
118,798.202,1,0.687384,0.629974,0.0701936,-2.19382,-4.5069,-1.03243,-1.40664,0.671435,0.154076,0.108418,0.0746566,0.20811
119,837.728,1,0.680922,0.713448,0.0710106,-2.18974,-4.50294,-1.03977,-1.41227,0.684135,0.151748,0.105672,0.0727662,0.20284
120,809.936,1,0.674842,0.70468,0.0696929,-2.1473,-4.51284,-1.03939,-1.41255,0.693874,0.160631,0.105534,0.0709237,0.197704
121,779.017,1,0.681587,0.781215,0.0702627,-2.15454,-4.50977,-1.03832,-1.42414,0.692058,0.156564,0.102862,0.0691279,0.206359
122,842.471,1,0.704206,0.745722,0.0694432,-2.16299,-4.51316,-1.04753,-1.42671,0.713095,0.1526,0.100257,0.0673776,0.201134
123,818.252,1,0.686375,0.74727,0.0697986,-2.15678,-4.50479,-1.05263,-1.42225,0.708212,0.148736,0.111731,0.0656715,0.204988
124,848.844,1,0.70572,0.759189,0.0701599,-2.2261,-4.50577,-1.05073,-1.4235,0.709732,0.156596,0.119707,0.0640087,0.199797
125,801.847,1,0.68785,0.787872,0.0727921,-2.23753,-4.49139,-1.05533,-1.39806,0.704853,0.187346,0.129874,0.0640316,0.194738
126,817.424,1,0.673106,0.743683,0.0734556,-2.22562,-4.4894,-1.06425,-1.39997,0.687957,0.182603,0.126586,0.065313,0.190393
127,777.126,1,0.680585,0.795026,0.0736877,-2.19639,-4.489,-1.07364,-1.40161,0.699846,0.177979,0.12338,0.0636593,0.185572
128,811.92,1,0.677205,0.805025,0.0731281,-2.20869,-4.49365,-1.05845,-1.39066,0.674543,0.181906,0.120256,0.0642048,0.184807
129,807.329,1,0.67755,0.789209,0.0718551,-2.19559,-4.49736,-1.05941,-1.39813,0.688786,0.190593,0.117211,0.0633207,0.188792
130,797.256,1,0.660394,0.810851,0.0714505,-2.1817,-4.50113,-1.05209,-1.39622,0.686435,0.185767,0.12434,0.0617174,0.207533
131,827.385,1,0.675058,0.82218,0.0719979,-2.1652,-4.49692,-1.05321,-1.39663,0.684402,0.192664,0.123663,0.0633719,0.209701
132,800.712,1,0.665527,0.829546,0.0713898,-2.14479,-4.49251,-1.05819,-1.39281,0.687004,0.187785,0.12574,0.0617673,0.204392
133,809.825,1,0.687564,0.855076,0.0718544,-2.10236,-4.49438,-1.07097,-1.3805,0.694155,0.18303,0.122556,0.0602033,0.209434
134,835.673,1,0.684764,0.859501,0.070993,-2.09007,-4.50194,-1.06938,-1.3805,0.681048,0.203798,0.140282,0.0642817,0.204131
135,834.313,1,0.676529,0.885865,0.0712056,-2.09425,-4.49933,-1.06712,-1.37707,0.677282,0.230895,0.148955,0.0665131,0.198962
136,817.376,1,0.695173,0.903229,0.0712588,-2.07497,-4.49637,-1.07388,-1.38271,0.694403,0.225049,0.145183,0.0648289,0.193924
137,873.138,1,0.706089,0.882542,0.0711533,-2.08909,-4.49074,-1.0846,-1.38258,0.701192,0.21935,0.141507,0.0666997,0.219071
138,811.455,1,0.688211,0.844539,0.0714959,-2.10969,-4.48659,-1.06916,-1.37758,0.67824,0.213796,0.137924,0.0650109,0.217401
139,827.838,1,0.681576,0.844224,0.0712234,-2.08564,-4.4861,-1.07331,-1.37664,0.678835,0.214935,0.143356,0.0633648,0.220217
140,841.973,1,0.682885,0.782985,0.0694657,-2.09152,-4.50344,-1.07248,-1.37173,0.66284,0.209493,0.139726,0.0617603,0.232685
141,833.257,1,0.679801,0.810065,0.0705208,-2.13856,-4.5044,-1.0781,-1.38125,0.674039,0.204188,0.139995,0.0607863,0.226793
142,786.363,1,0.662588,0.856178,0.0705578,-2.1163,-4.49426,-1.07556,-1.3741,0.683322,0.213272,0.13645,0.0592472,0.221051
143,792.842,1,0.667798,0.8662,0.0699998,-2.12491,-4.50693,-1.07444,-1.36618,0.650472,0.21088,0.132995,0.057747,0.215454
144,814.092,1,0.669718,0.862337,0.0710428,-2.13143,-4.50184,-1.06557,-1.36845,0.658032,0.216388,0.13488,0.0562848,0.209998
