rep,id,initT,aS,dS,tau,lBt0,lp,dI,lk,lae,f,dp,lw,dE,lI50,data
9,40,-10.6851517018567,15.665957388344,0.00899174350288357,0.05,-4.9172840046183,4.6,0.9,-4.11196635575622,-0.367414599959083,0.9,0.001,-1.40827159898231,1,5.31633544989249,thai
10,40,-8.67930498652486,16.2160230272174,0.00858595742232922,0.05,-4.90879089803512,4.6,0.9,-4.20807926331036,0.632618441908999,0.9,0.001,-1.70638084945063,1,15301231.9932824,thai
1,41,-6.3962721424248,17.201790421604,0.00943821139248438,0.05,-4.9101183814853,4.6,0.9,-3.67888199690768,0.136056552246897,0.9,0.001,0.0321612232721657,1,1.48804602776647e-06,thai
2,41,-4.73754777812144,15.6236057408996,0.00858402940664268,0.05,-4.90412871638339,4.6,0.9,-3.91262907578281,0.376171342856279,0.9,0.001,0.21699068689647,1,1.01540396407681e-14,thai
3,41,-6.4381871006733,15.7528926783619,0.00910392287846846,0.05,-4.90907199499584,4.6,0.9,-3.87681967661774,0.509245094479873,0.9,0.001,0.0713458416988334,1,4.88372822771523e-17,thai
4,41,-3.55115464957454,18.7471581977858,0.00882143748474361,0.05,-4.90884563038931,4.6,0.9,-3.50097710427957,0.212545272671414,0.9,0.001,0.0222044188731537,1,1.31426524134489e-17,thai
5,41,-3.22450548274385,17.123855176272,0.00867189090592759,0.05,-4.90280441927453,4.6,0.9,-3.13791020072391,-0.183286480489109,0.9,0.001,-0.274760521658893,1,0.214045532403287,thai
6,41,-6.54972042549676,15.9073211220752,0.00909208787637269,0.05,-4.90667222405626,4.6,0.9,-3.34221409950919,0.348758408788218,0.9,0.001,-0.284374653460895,1,0.120943324176839,thai
7,41,-3.61249803072715,16.6922997466579,0.00855131287423478,0.05,-4.89820615535857,4.6,0.9,-2.83243292550327,-0.694494094046902,0.9,0.001,0.20129074836473,1,4.23895322747924e-47,thai
8,41,-6.88254895243721,16.0806225686069,0.00950145367529225,0.05,-4.90204179249043,4.6,0.9,-3.31266536364176,0.0505924661465961,0.9,0.001,-0.0267634685593338,1,1.55745756684901e-30,thai
9,41,-4.86410395678969,15.371842298827,0.00804203595683801,0.05,-4.90436894231466,4.6,0.9,-3.37531114308045,0.289707870735788,0.9,0.001,-0.0134326594388197,1,5.38626024517202e-13,thai
