,time_weeks,id_monkey,value,obs_log10VL,censor,time_days
330,2.5,U14,100000000.0,8.0,0,17.5
331,3.0,U14,17000000.0,7.230448921378274,0,21.0
333,4.0,U14,5100000.0,6.707570176097937,0,28.0
334,4.5,U14,1900000.0,6.278753600952829,0,31.5
335,5.0,U14,1300000.0,6.113943352306837,0,35.0
337,6.0,U14,1200000.0,6.079181246047625,0,42.0
339,7.0,U14,1200000.0,6.079181246047625,0,49.0
350,0.0,U15,30.0,1.4771212547196624,1,0.0
351,0.5,U15,30.0,1.4771212547196624,1,3.5
352,1.0,U15,30.0,1.4771212547196624,1,7.0
353,1.5,U15,30.0,1.4771212547196624,1,10.5
354,2.0,U15,230000.0,5.361727836017593,0,14.0
355,2.5,U15,12000000.0,7.079181246047625,0,17.5
356,3.0,U15,13000000.0,7.113943352306837,0,21.0
358,4.0,U15,2200000.0,6.342422680822207,0,28.0
360,5.0,U15,29000.0,4.4623979978989565,0,35.0
362,6.0,U15,3100.0,3.4913616938342726,0,42.0
364,7.0,U15,93000.0,4.968482948553935,0,49.0
366,8.0,U15,25000.0,4.3979400086720375,0,56.0
368,9.0,U15,31000.0,4.491361693834273,0,63.0
370,10.0,U15,22000.0,4.342422680822207,0,70.0
372,11.0,U15,26000.0,4.414973347970818,0,77.0
374,12.0,U15,20000.0,4.301029995663981,0,84.0
375,0.0,U16,30.0,1.4771212547196624,1,0.0
377,1.0,U16,30.0,1.4771212547196624,1,7.0
378,1.5,U16,250000.0,5.3979400086720375,0,10.5
379,2.0,U16,16000000.0,7.204119982655925,0,14.0
380,2.5,U16,22000000.0,7.342422680822207,0,17.5
381,3.0,U16,7800000.0,6.892094602690481,0,21.0
383,4.0,U16,1800000.0,6.2552725051033065,0,28.0
385,5.0,U16,1300000.0,6.113943352306837,0,35.0
387,6.0,U16,840000.0,5.924279286061882,0,42.0
389,7.0,U16,610000.0,5.785329835010767,0,49.0
391,8.0,U16,660000.0,5.819543935541868,0,56.0
393,9.0,U16,920000.0,5.963787827345556,0,63.0
395,10.0,U16,1200000.0,6.079181246047625,0,70.0
397,11.0,U16,1600000.0,6.204119982655925,0,77.0
399,12.0,U16,1400000.0,6.146128035678238,0,84.0
400,0.0,U17,30.0,1.4771212547196624,1,0.0
401,0.5,U17,30.0,1.4771212547196624,1,3.5
402,1.0,U17,30.0,1.4771212547196624,1,7.0
403,1.5,U17,30.0,1.4771212547196624,1,10.5
404,2.0,U17,210.0,2.322219294733919,0,14.0
405,2.5,U17,410000.0,5.6127838567197355,0,17.5
406,3.0,U17,1900000.0,6.278753600952829,0,21.0
407,3.5,U17,470000.0,5.672097857935717,0,24.5
408,4.0,U17,15000.0,4.176091259055681,0,28.0
409,4.5,U17,130000.0,5.113943352306837,0,31.5
410,5.0,U17,62000.0,4.7923916894982534,0,35.0
412,6.0,U17,44000.0,4.643452676486188,0,42.0
414,7.0,U17,18000.0,4.2552725051033065,0,49.0
416,8.0,U17,16000.0,4.204119982655925,0,56.0
418,9.0,U17,9800.0,3.9912260756924947,0,63.0
420,10.0,U17,7200.0,3.8573324964312685,0,70.0
422,11.0,U17,3600.0,3.5563025007672873,0,77.0
424,12.0,U17,4500.0,3.6532125137753435,0,84.0
