iteration,convergenceIndicator,phase,a,aS_pop,b,dI_pop,dS_pop,initT_pop,lBt0_pop,omega_aS,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_w,w_pop
91,1103.59,1,0.118934,1.74076,2.22045e-16,0.823171,0.00705708,-4.69884,-4.06608,0.0799698,2.41259,0.0977977,2.37312,0.0781044,0.523084,0.065193
92,1085.17,1,0.115303,1.72587,2.22045e-16,0.836269,0.00715789,-4.7555,-4.067,0.0779449,2.3515,0.106029,2.69628,0.0761267,0.509839,0.0683959
93,1081.74,1,0.116444,1.7145,2.22045e-16,0.838096,0.00717369,-4.95143,-4.06952,0.0759713,2.29196,0.103344,2.62801,0.0741992,0.547202,0.0632002
94,1071.67,1,0.115303,1.6957,2.22045e-16,0.812163,0.00704812,-5.09186,-4.07862,0.0758989,2.23393,0.100728,2.56147,0.0822284,0.551836,0.0623432
95,1108.81,1,0.119649,1.70587,2.22045e-16,0.807986,0.00704685,-5.17033,-4.07796,0.0742943,2.18449,0.102509,2.49661,0.0801463,0.537864,0.0628003
96,1135.05,1,0.122533,1.71002,2.22045e-16,0.831876,0.00693431,-5.00714,-4.06952,0.0729518,2.38455,0.0999137,2.4334,0.078206,0.524245,0.059606
97,1110.63,1,0.119996,1.72445,2.22045e-16,0.825314,0.00692701,-4.72717,-4.07751,0.075087,2.35817,0.100133,2.37178,0.0762258,0.521508,0.0570142
98,1125.95,1,0.119161,1.69484,2.22045e-16,0.803749,0.00683952,-4.97735,-4.07305,0.0806633,2.29846,0.108884,2.41772,0.0742957,0.569288,0.0561722
99,1125.08,1,0.119399,1.65757,2.22045e-16,0.782889,0.00689161,-4.83107,-4.07008,0.0820921,2.31212,0.106127,2.44182,0.0788869,0.554873,0.0576261
100,1107.89,1,0.119029,1.65416,2.22045e-16,0.76545,0.00703154,-4.92088,-4.05958,0.0800135,2.25358,0.10344,2.63646,0.0768895,0.582506,0.0539906
101,1090.88,1,0.11553,1.6567,2.22045e-16,0.759485,0.00703266,-5.28595,-4.0665,0.0779875,2.19652,0.105495,2.75523,0.0797074,0.567756,0.0576719
102,1086.82,1,0.113848,1.64007,2.22045e-16,0.751788,0.00711605,-5.18815,-4.0538,0.0760129,2.1409,0.102823,2.81205,0.0834747,0.621523,0.0600089
103,1142.89,1,0.117938,1.62994,2.22045e-16,0.780597,0.00715028,-5.24385,-4.05069,0.0839899,2.21823,0.10022,2.77372,0.086584,0.605785,0.0589163
104,1154.67,1,0.11765,1.60539,2.22045e-16,0.809775,0.00717239,-5.55337,-4.05723,0.0900424,2.38566,0.0976822,2.92566,0.0843917,0.606555,0.0590729
105,1168.22,1,0.116526,1.60721,2.22045e-16,0.83374,0.00705712,-5.54802,-4.05588,0.100344,2.32526,0.0952089,3.23576,0.084084,0.640533,0.0659763
106,1120.23,1,0.114875,1.61956,2.22045e-16,0.825109,0.00702806,-5.29668,-4.05298,0.0978032,2.26638,0.0927981,3.15383,0.0819549,0.660136,0.0652473
107,1148.03,1,0.115723,1.62369,2.22045e-16,0.83369,0.00702817,-5.18448,-4.04656,0.0980584,2.49022,0.0904484,3.07398,0.0844781,0.643421,0.0664126
108,1121.8,1,0.113595,1.59869,2.22045e-16,0.887231,0.00698544,-5.0483,-4.04655,0.108042,2.42717,0.0884038,2.99614,0.0823391,0.673544,0.0777289
109,1114.26,1,0.115637,1.59941,2.22045e-16,0.878815,0.00689757,-4.97515,-4.05358,0.111453,2.36571,0.0861653,2.92028,0.086233,0.65649,0.0736672
110,1143.67,1,0.11338,1.59102,2.22045e-16,0.917292,0.00688657,-5.31414,-4.05721,0.113777,2.37715,0.0839836,3.12949,0.0840495,0.694038,0.0764825
111,1172.9,1,0.115787,1.59533,2.22045e-16,0.899849,0.00687255,-5.44656,-4.05912,0.110896,2.41044,0.0818571,3.05025,0.0870212,0.767033,0.087121
112,1171.9,1,0.11556,1.58714,2.22045e-16,0.9338,0.00686529,-5.25358,-4.06614,0.108088,2.70478,0.0803375,3.04602,0.0854503,0.753906,0.0840983
113,1163.45,1,0.117491,1.59963,2.22045e-16,0.91409,0.00681426,-5.36455,-4.06386,0.105351,2.63629,0.0783033,2.9689,0.0875783,0.735575,0.076984
114,1185.52,1,0.116128,1.59804,2.22045e-16,0.90732,0.00679088,-5.17655,-4.06143,0.106409,2.70588,0.0763206,3.03155,0.094901,0.72663,0.0786664
115,1154.81,1,0.115648,1.5798,2.22045e-16,0.833307,0.00678268,-4.97261,-4.05844,0.125285,2.63736,0.0743881,2.95479,0.092498,0.708231,0.0749977
116,1208.36,1,0.11932,1.58642,2.22045e-16,0.832972,0.00674637,-5.0069,-4.06145,0.123506,2.57058,0.0746853,2.87997,0.0921,0.802499,0.0692332
