iteration,convergenceIndicator,phase,a,aS_pop,b,dE_pop,dS_pop,initT_pop,lBt0_pop,lae_pop,lk_pop,lw_pop,omega_aS,omega_dE,omega_dS,omega_initT,omega_lBt0,omega_lae,omega_lk,omega_lw
70,862.4,1,0.379076,15.9472,0.0198643,0.146646,0.00997035,-9.611,-4.90644,-2.22847,-4.26447,2.90485,0.0415304,1.41144,0.0542663,2.34947,0.0229191,1.30967,0.461876,0.7026
71,884.147,1,0.391468,15.8918,0.0176242,0.147315,0.010005,-9.69405,-4.90407,-2.22199,-4.24629,2.87455,0.0432841,1.3757,0.0528922,2.45992,0.0223388,1.43281,0.450181,0.753938
72,900.712,1,0.451136,15.9095,0.00805981,0.15543,0.0100023,-9.63386,-4.90408,-2.06002,-4.20435,2.8736,0.0421881,1.35314,0.0549157,2.49012,0.0217731,1.39653,0.438782,0.790529
73,885.206,1,0.407868,15.9386,0.015011,0.161603,0.00997208,-9.4966,-4.90419,-2.05811,-4.23165,2.91737,0.0431295,1.366,0.0535252,2.57583,0.0213523,1.36117,0.427672,0.770513
74,903.386,1,0.394939,15.8833,0.0158981,0.163606,0.00994934,-9.51146,-4.90374,-1.95899,-4.23905,2.91766,0.0420374,1.40458,0.052666,2.97874,0.0222472,1.32671,0.416843,0.794999
75,911.66,1,0.441343,15.8112,0.00917908,0.152726,0.00989633,-9.78327,-4.90851,-2.22236,-4.24225,2.91942,0.040973,1.36901,0.0513325,3.13814,0.0244982,1.29311,0.406288,0.799035
76,889.011,1,0.361968,15.7393,0.0245445,0.137967,0.00985916,-9.88518,-4.90602,-2.11813,-4.22794,2.93799,0.0399355,1.33435,0.0500327,3.05868,0.0238779,1.34811,0.396001,0.792831
77,880.463,1,0.341202,15.8002,0.0289739,0.137455,0.00982441,-9.86068,-4.90883,-2.19095,-4.26573,2.94722,0.0389243,1.30056,0.0487659,2.98123,0.0240093,1.31398,0.450706,0.772756
78,899.319,1,0.352219,15.794,0.0267243,0.139106,0.00983886,-9.79526,-4.90945,-2.13383,-4.23007,2.86044,0.0379387,1.26763,0.0475311,2.90575,0.0239708,1.41347,0.448141,0.753189
79,895.58,1,0.338088,15.8183,0.0302773,0.144293,0.00986498,-9.84531,-4.908,-2.06702,-4.29714,2.9592,0.037105,1.23553,0.0463276,2.83217,0.0256962,1.41769,0.436794,0.734118
80,876.917,1,0.377379,15.8072,0.0204252,0.137764,0.00986206,-9.88239,-4.91205,-2.16552,-4.23173,2.96058,0.0395086,1.28454,0.0451545,2.76046,0.0250456,1.61435,0.425734,0.71553
81,853.546,1,0.37725,15.72,0.019621,0.130145,0.00981987,-10.0745,-4.91111,-2.27473,-4.25245,2.97712,0.03975,1.30526,0.0440112,2.69651,0.0244114,1.66285,0.414954,0.697412
82,876.097,1,0.377193,15.704,0.0192256,0.1404,0.00985176,-10.4647,-4.91168,-2.01105,-4.21418,2.87779,0.0402458,1.38097,0.0441848,2.8078,0.0237933,1.62074,0.419248,0.679753
83,893.881,1,0.39076,15.7349,0.0178631,0.160271,0.00987636,-10.4648,-4.91466,-1.85383,-4.2035,2.85855,0.0392268,1.48832,0.043066,2.90577,0.0231908,1.65471,0.408633,0.662542
84,911.813,1,0.383097,15.7076,0.0169129,0.147906,0.00974828,-10.2014,-4.91451,-1.98026,-4.15785,2.80678,0.0396863,1.56614,0.0499248,3.05331,0.0226036,1.87217,0.398286,0.701023
85,893.092,1,0.367943,15.6394,0.0239281,0.140176,0.00971631,-10.2776,-4.91607,-1.75037,-4.16892,2.83528,0.0386814,1.52649,0.0486607,3.02522,0.0220313,1.82476,0.388201,0.683272
86,902.544,1,0.338821,15.6239,0.0293488,0.130257,0.00973963,-10.3171,-4.91497,-2.04557,-4.17078,2.71645,0.037702,1.48784,0.0474286,3.24828,0.0237801,1.77856,0.378371,0.665971
87,911.921,1,0.374179,15.6489,0.0192319,0.159055,0.00970541,-10.4444,-4.91645,-1.76954,-4.1703,2.70655,0.0367474,1.45016,0.047683,3.37779,0.0253149,1.73352,0.411275,0.685437
88,923.023,1,0.35673,15.6692,0.0242488,0.144875,0.00973733,-10.6754,-4.9165,-2.21155,-4.20042,2.74956,0.0358169,1.41345,0.0464757,3.36327,0.0246739,1.98362,0.400861,0.69168
89,956.119,1,0.349876,15.6283,0.0287128,0.133539,0.00973566,-10.5077,-4.91602,-2.33189,-4.19902,2.75662,0.03491,1.37766,0.0495931,3.40912,0.0257644,2.09676,0.390711,0.674167
