initT_abscissa,initT_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,n_abscissa,n_cdf,split
-9.13263,0.571429,0.000902157,0.571429,-4.53298,0.569388,2.71663,0.569388,0.113674,0.569388,All
-9.12282,0.573469,0.00090702,0.573469,-4.53147,0.571429,2.72032,0.571429,0.113802,0.571429,All
-9.10637,0.57551,0.000909171,0.57551,-4.52811,0.573469,2.75405,0.573469,0.114144,0.573469,All
-9.0869,0.577551,0.000917837,0.577551,-4.52772,0.57551,2.76347,0.57551,0.114223,0.57551,All
-9.04739,0.579592,0.000924639,0.579592,-4.52478,0.577551,2.76439,0.577551,0.114254,0.577551,All
-9.04416,0.581633,0.000933008,0.581633,-4.52035,0.579592,2.78004,0.579592,0.114416,0.579592,All
-9.04048,0.583673,0.000934044,0.583673,-4.51849,0.581633,2.79886,0.581633,0.115136,0.581633,All
-8.96644,0.585714,0.000936958,0.585714,-4.51654,0.583673,2.8005,0.583673,0.115187,0.583673,All
-8.96361,0.587755,0.000936992,0.587755,-4.5147,0.585714,2.80056,0.585714,0.115187,0.585714,All
-8.96187,0.589796,0.000942303,0.589796,-4.51421,0.587755,2.80862,0.587755,0.115298,0.587755,All
-8.94293,0.591837,0.000958131,0.591837,-4.51239,0.589796,2.8165,0.589796,0.115329,0.589796,All
-8.91984,0.593878,0.000959182,0.593878,-4.51232,0.591837,2.82664,0.591837,0.115339,0.591837,All
-8.9127,0.595918,0.000968377,0.595918,-4.51136,0.593878,2.84652,0.593878,0.116008,0.593878,All
-8.9102,0.597959,0.000970136,0.597959,-4.5109,0.595918,2.87937,0.595918,0.116016,0.595918,All
-8.89604,0.6,0.000972145,0.6,-4.51068,0.597959,2.89094,0.597959,0.116147,0.597959,All
-8.89199,0.602041,0.000975707,0.602041,-4.51036,0.6,2.93851,0.6,0.116871,0.6,All
-8.85917,0.604082,0.00097809,0.604082,-4.5097,0.602041,2.94478,0.602041,0.117279,0.602041,All
-8.85865,0.606122,0.000980142,0.606122,-4.50851,0.604082,2.96014,0.604082,0.117702,0.604082,All
-8.82693,0.608163,0.00100236,0.608163,-4.50571,0.606122,2.9727,0.606122,0.117947,0.606122,All
-8.81982,0.610204,0.00101332,0.610204,-4.50388,0.608163,2.98018,0.608163,0.118163,0.608163,All
-8.80676,0.612245,0.00101421,0.612245,-4.50178,0.610204,3.00912,0.610204,0.118173,0.610204,All
-8.79165,0.614286,0.00102173,0.614286,-4.50081,0.612245,3.01103,0.612245,0.118667,0.612245,All
-8.7683,0.616327,0.00102301,0.616327,-4.50045,0.614286,3.03691,0.614286,0.118694,0.614286,All
-8.7516,0.618367,0.00102559,0.618367,-4.49836,0.616327,3.04014,0.616327,0.118848,0.616327,All
-8.73772,0.620408,0.00102566,0.620408,-4.49622,0.618367,3.07968,0.618367,0.119023,0.618367,All
-8.72386,0.622449,0.00103476,0.622449,-4.49338,0.620408,3.10227,0.620408,0.119033,0.620408,All
