rep,id,initT,aS,dS,tau,Bt0,p,g,dI,n,V0,eta_initT,eta_aS,eta_dS,eta_tau,eta_Bt0,eta_p,eta_g,eta_dI,eta_n,eta_V0
2,10,0.280460276905187,0.904532778720535,-6.31240140128721,0,-12.5140538734862,9.20350608728065,3.13549421592915,-0.22314355131421,-1.70946359122855,-13.8155105579643,-1.13665201493653,0.257363425884651,-0.0167631418732732,0,-0.708610119005639,0.222113003248522,0,0,0.222506952530219,0
3,10,2.4337246365023,1.60369430586157,-6.63309989858251,0,-12.8528668664251,8.75406283346927,3.13549421592915,-0.22314355131421,-1.88750136734707,-13.8155105579643,1.01661234466058,0.956524953025689,-0.337461639168581,0,-1.04742311194451,-0.227330250562852,0,0,0.0444691764116993,0
1,11,6.56291343476617,0.0561205525044749,-5.58288399741354,0,-10.0362202998373,8.62133225972235,3.13549421592915,-0.22314355131421,-1.90420088234309,-13.8155105579643,5.14580114292445,-0.591048800331408,0.712754262000392,0,1.76922345464329,-0.360060824309775,0,0,0.0277696614156802,0
2,11,4.95620375016307,0.825828141691667,-5.75095950112524,0,-10.522543045621,8.01314299866431,3.13549421592915,-0.22314355131421,-2.03306018020131,-13.8155105579643,3.53909145832135,0.178658788855784,0.544678758288692,0,1.28290070885959,-0.968250085367821,0,0,-0.10108963644254,0
3,11,6.87928502357969,1.12605690127236,-6.4069719952024,0,-11.1905302746748,7.9292801043073,3.13549421592915,-0.22314355131421,-1.99480554526242,-13.8155105579643,5.46217273173797,0.47888754843648,-0.111333735788469,0,0.614913479805782,-1.05211297972482,0,0,-0.0628350015036541,0
1,12,-1.7115306831794,2.50587599229218,-5.70046198726792,0,-12.3778501146846,8.41982515183688,3.13549421592915,-0.22314355131421,-2.05900194482602,-13.8155105579643,-3.12864297502112,1.8587066394563,0.595176272146009,0,-0.572406360204051,-0.561567932195249,0,0,-0.127031401067248,0
2,12,-2.58580335787189,0.121920474041522,-5.21670143877801,0,-11.9428424186123,10.696642709744,3.13549421592915,-0.22314355131421,-1.98129784519968,-13.8155105579643,-4.00291564971361,-0.525248878794362,1.07893682063592,0,-0.137398664131689,1.71524962571187,0,0,-0.0493273014409148,0
3,12,-1.76026787236345,1.81146438649456,-5.94424902510164,0,-12.5448943271933,9.0120607564895,3.13549421592915,-0.22314355131421,-2.06456268511208,-13.8155105579643,-3.17738016420517,1.16429503365868,0.351389234312293,0,-0.739450572712666,0.0306676724573727,0,0,-0.132592141353312,0
1,13,-2.5128710088157,0.662955926745966,-7.09755796272748,0,-11.1511121351174,7.34584918409969,3.13549421592915,-0.22314355131421,-2.62158968674203,-13.8155105579643,-3.92998330065742,0.0157865739100831,-0.801919703313548,0,0.654331619363212,-1.63554389993243,0,0,-0.689619142983261,0
2,13,-1.1546588974943,0.0143586778989462,-7.88722595616175,0,-11.5093256779604,7.66973132917582,3.13549421592915,-0.22314355131421,-2.54289562574977,-13.8155105579643,-2.57177118933602,-0.632810674936937,-1.59158769674781,0,0.2961180765202,-1.3116617548563,0,0,-0.610925081990997,0
3,13,-0.259486245475887,-0.0609479615476674,-7.47719344591926,0,-11.6704620892229,8.35645568132476,3.13549421592915,-0.22314355131421,-2.52531933503665,-13.8155105579643,-1.67659853731761,-0.708117314383551,-1.18155518650533,0,0.134981665257682,-0.624937402707369,0,0,-0.593348791277883,0
1,14,1.13091827594578,1.41277891123065,-6.48988460784263,0,-12.9711724348158,9.22568120248981,3.13549421592915,-0.22314355131421,-1.94083691119142,-13.8155105579643,-0.28619401589594,0.765609558394762,-0.194246348428696,0,-1.1657286803352,0.244288118457684,0,0,-0.00886636743265279,0
2,14,-1.38967447178,-0.402998321401614,-6.48628736378319,0,-12.6394388242774,10.4734866978594,3.13549421592915,-0.22314355131421,-1.7032437022094,-13.8155105579643,-2.80678676362172,-1.0501676742375,-0.19064910436926,0,-0.83399506979679,1.49209361382729,0,0,0.228726841549369,0
3,14,0.278411528555716,1.06205177942011,-6.07865764905097,0,-12.9243078547118,9.86812155377999,3.13549421592915,-0.22314355131421,-1.98119097123413,-13.8155105579643,-1.13870076328601,0.414882426584229,0.21698061036296,0,-1.11886410023117,0.88672846974786,0,0,-0.0492204274753596,0
1,15,3.93984572062963,0.43727783403434,-6.49546988396015,0,-11.2613159819379,8.43174690535489,3.13549421592915,-0.22314355131421,-2.21911223986959,-13.8155105579643,2.52273342878791,-0.209891518801543,-0.199831624546217,0,0.54412777254271,-0.549646178677234,0,0,-0.287141696110819,0
2,15,4.70928589470201,0.484110809438888,-6.29891215586464,0,-11.6652390262585,9.05884040228677,3.13549421592915,-0.22314355131421,-2.19452803620486,-13.8155105579643,3.29217360286029,-0.163058543396996,-0.00327389645070486,0,0.140204728222063,0.0774473182546433,0,0,-0.26255749244609,0
3,15,5.21879130636963,1.28769483235559,-6.61616081028366,0,-11.8322393956048,8.19490852486404,3.13549421592915,-0.22314355131421,-2.20833758538313,-13.8155105579643,3.80167901452791,0.640525479519706,-0.320522550869728,0,-0.0267956411242132,-0.786484559168088,0,0,-0.276367041624356,0
1,16,1.50706922684723,0.0423820915365354,-6.70275728665887,0,-12.4106459863607,9.79410588198738,3.13549421592915,-0.22314355131421,-1.66121310476949,-13.8155105579643,0.0899569350055109,-0.604787261299348,-0.407119027244939,0,-0.60520223188014,0.812712797955257,0,0,0.270757438989277,0
2,16,3.11118677472373,0.358895748165983,-5.78627529607011,0,-11.9321393969864,10.1009660049929,3.13549421592915,-0.22314355131421,-1.58469241900981,-13.8155105579643,1.69407448288201,-0.2882736046699,0.509362963343822,0,-0.126695642505798,1.11957292096077,0,0,0.347278124748956,0
3,16,4.12865001095475,0.822966627144243,-6.72725483100037,0,-12.3769181529964,9.25905245712903,3.13549421592915,-0.22314355131421,-1.51223483301079,-13.8155105579643,2.71153771911303,0.17579727430836,-0.431616571586436,0,-0.571474398515768,0.277659373096904,0,0,0.419735710747977,0
1,17,9.10979319298295,-0.269913053890945,-6.96145305196095,0,-9.87884834622647,7.57048780414877,3.13549421592915,-0.22314355131421,-1.90768809452801,-13.8155105579643,7.69268090114123,-0.917082406726828,-0.665814792547017,0,1.92659540825412,-1.41090527988336,0,0,0.0242824492307592,0
2,17,8.85381076218036,-0.191199044176616,-6.82631127794796,0,-8.891574510995,6.56171190310449,3.13549421592915,-0.22314355131421,-1.69217458781839,-13.8155105579643,7.43669847033864,-0.838368397012499,-0.530673018534024,0,2.91386924348559,-2.41968118092763,0,0,0.239795955940382,0
3,17,7.05286976375481,0.859147770546524,-6.39786251258706,0,-9.10945870986441,5.95173619489135,3.13549421592915,-0.22314355131421,-2.12679125489918,-13.8155105579643,5.63575747191308,0.211978417710641,-0.102224253173128,0,2.69598504461618,-3.02965688914078,0,0,-0.194820711140411,0
